station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_BS,beta_LUI,beta_RD,beta_BD,beta_GBS,beta_TS,beta_ES,beta_LUM,se_Intercept,se_TL,se_BS,se_LUI,se_RD,se_BD,se_GBS,se_TS,se_ES,se_LUM,t_Intercept,t_TL,t_BS,t_LUI,t_RD,t_BD,t_GBS,t_TS,t_ES,t_LUM,p_Intercept,p_TL,p_BS,p_LUI,p_RD,p_BD,p_GBS,p_TS,p_ES,p_LUM,sumW_Intercept,sumW_TL,sumW_BS,sumW_LUI,sumW_RD,sumW_BD,sumW_GBS,sumW_TS,sumW_ES,sumW_LUM
1360.0,1157735.61553354,1901043.52283533,-1.426798810608192,-0.7776559521555843,-1.0245757390409118,-0.4022230715672801,0.7519118022685094,-0.32863959728472875,0.4041368937605185,-0.0912355258278032,0.4316795388193747,0.12929863235920394,-0.1319181133686313,-0.2152823181010716,-0.0613346228062559,-0.30895692212780235,0.2914676887536214,0.13047467326493176,0.22566673646090588,0.09729208302187059,0.09402220135673262,0.14743482081357592,0.09072292905497653,0.11448445393666744,0.11707039625063144,0.10753332595625317,0.16375617842517257,-2.5187999253879614,1.7908571732747616,-0.9377487149421406,4.591251136330298,0.8769884322150444,-1.454076877177226,-1.8804502331833222,-0.5239123191737304,-2.8731271852736384,1.7798881944891372,0.013149687368800268,0.07594694361666172,0.35033883987292924,1.1332068458761667e-05,0.3823212826395057,0.148648781631037,0.06257652513811006,0.6013477802152242,0.004841645661625534,0.07773540687510438,13.868095253716714,14.035407967606488,23.97813664342671,77.65102814495606,14.080882498496695,65.53147784592879,64.5795269718106,33.33451134758744,77.65102814495606,24.565074691276283
1380.0,1167633.60312676,1937300.91346109,0.5007937373096956,0.7989842990620415,0.5223511935306921,-0.021557456220996585,0.7404175723763691,0.30272620587737864,0.48321503060391346,0.17241260678362613,0.4507583493151937,-0.3286141476233554,-0.12312771020534746,-0.19465778571217296,0.23161523596312356,-0.31425342572312903,0.2817494859601468,0.13151201363244588,0.19964607133600423,0.1136508939280697,0.09377915095950173,0.19236701476454274,0.09038516454623338,0.10931311209726281,0.13775572260444177,0.10748271361480417,0.18085836736087432,2.3018901278741564,2.4203583239595177,1.5170369613876251,4.806594479724523,-1.708266607066597,-1.362255750968576,-1.7807359243324221,1.6813474720625174,-2.9237578318812116,1.5578460099551832,0.023141350624021492,0.01707038941211802,0.1320015227333335,4.6820714008790974e-06,0.09028476997143264,0.17577937632154586,0.07759595872293558,0.09540935720321309,0.004166008195813363,0.12201756941648892,22.306712812756707,22.74327782159045,26.208470890317766,74.44049022021402,23.19179045886048,62.90518327621365,62.57642554491029,29.44151349790767,74.44049022021402,26.496181407672278
1400.0,1176529.51123105,1895049.38830174,1.996583451481225,2.1240731406303257,0.41689741322400864,1.5796860382572164,0.7026143978781091,0.3426788228305077,-0.02826490170953104,-0.11699435023929178,0.433990074923004,0.006663812482385403,-0.12961668118131417,-0.23889739036520655,-0.042658445153872224,-0.30732466262950897,0.5142808596044898,0.1396950644955388,0.078373626282671,0.09866415224694103,0.09511089374245459,0.09951822527206093,0.0909696445244181,0.11322056340685635,0.11800032332203178,0.10783146140028722,0.21181198254681102,2.453048889507841,-0.36064302559623457,-1.1857837682167796,4.562990188044928,0.06696072467297327,-1.4248344253617746,-2.11001767856191,-0.3615112565196462,-2.850046346758409,2.428006449025292,0.015666154693966004,0.719027914051257,0.23815199821709904,1.2702536141399927e-05,0.9467292468909314,0.1569133080364233,0.03702494590661742,0.7183806369470032,0.005181801667553944,0.016732193571526964,23.50963495678056,23.56029444409946,37.421637779995265,72.16404040872739,23.565859169848387,68.93506838651462,65.81015792717903,43.06636773832253,72.16404040872739,37.65101158829375
1410.0,1168871.48498392,1905449.33352743,0.062000725239345224,0.1968365665314237,0.3394257232375336,-0.27742499799818837,0.6988506495756401,0.2935464577193019,-0.02958155749201609,-0.10310463295632953,0.4374278944621493,0.005295135511757153,-0.12949639000714175,-0.21934844180739396,0.008426490233673327,-0.3115664466558458,0.47077595201856864,0.13291345122994694,0.07804941449903617,0.09388953643295699,0.09418367470731527,0.09682952321426205,0.09086555104316953,0.11412419078656305,0.11873439666893357,0.10717546476707611,0.20699730961936885,2.208553423320953,-0.37901062656122025,-1.0981482801329272,4.644413119593158,0.0546851346158155,-1.4251428458912774,-1.9220153088982077,0.07096924286539191,-2.907068771131262,2.274309520661122,0.029188743752856437,0.7053788457019649,0.27443364110616497,9.131334028999733e-06,0.956484202525725,0.15682433702395643,0.057077980759704675,0.943545505571567,0.004378492700065407,0.024801904053659465,19.197789850921897,19.316288002118355,37.69418783145614,82.20536194475245,19.70828027892889,70.37447695114311,68.73717030927924,41.16415073502097,82.20536194475245,38.135485660449376
1420.0,1169155.59813618,1924165.78538486,1.9589656988106274,1.1982165982368225,1.1397345681068294,0.819231130703798,0.721586428650767,0.34864037763540884,0.4331774111056874,0.08961833863723676,0.44709509470198616,-0.3245479046886735,-0.12492752113084357,-0.20178733898377185,0.18744042916776174,-0.3139695569623741,0.3125336035694726,0.1379834926199489,0.19926834106043706,0.10692786409716024,0.09377442070312912,0.18567071542918567,0.09053063743480758,0.11037236529863506,0.12155128353102912,0.10719158770217775,0.19580085835492345,2.526681786463233,2.1738396014161974,0.8381195995442765,4.767772398375021,-1.747975731867394,-1.3799474373612546,-1.8282415026423946,1.5420686949793723,-2.9290503452072234,1.5961809677205323,0.012873727490837518,0.0317666920923704,0.40370213397110055,5.5007639957687305e-06,0.08313712393863137,0.17027978349766884,0.070105258416893,0.12580419567814066,0.004100629704124121,0.11319283028299655,18.539367267119157,18.775275178618642,24.88264730591935,81.53884837185095,19.239265047441172,70.41866187290688,69.83906592367231,33.67065214063215,81.53884837185095,25.340786862412063
1430.0,1177647.63808009,1846956.57340895,0.05369580989214936,0.3166151464236849,-0.3372566882923145,0.3909524981844638,0.6680385173509266,-0.2937381204203784,0.42698726023078987,0.22048517777073046,0.4112309258804198,0.4748620482677008,-0.14824894735430078,-0.29111271701592273,-0.19453246111836178,-0.30601945707509565,0.13792926939687022,0.11509750721103891,0.22642762698401261,0.14510709100893432,0.09496021175692582,0.13894427340545368,0.09085358862611512,0.11120571592319987,0.11274468128915743,0.11134466495484434,0.18408586110260466,-2.5520806448204834,1.8857560180186765,1.5194652186718778,4.330560329130976,3.4176438987305686,-1.6317346358698244,-2.6177855571468016,-1.7254247286348028,-2.7483980233736514,0.7492659597577244,0.012019433170536508,0.061850812500347734,0.1313900337955404,3.1944940073841306e-05,0.0008742479713378305,0.1054708988398976,0.010040761181789589,0.0871370860734046,0.00695560900453241,0.455226838883911,14.624828793151506,14.6313998783567,18.46546055740411,55.200067722595456,14.73074986926076,48.56585461393314,47.59590955231421,22.52426690437143,55.200067722595456,18.90107797824386
1440.0,1163413.93822683,1923975.42941668,-0.7854327543088961,-0.42256065698687467,-0.16883609195255586,-0.6165966623563403,0.7439483910425476,0.3008481894965628,0.4662876593340044,0.12497787971356822,0.446405032212654,-0.274418368937092,-0.1250442667103289,-0.1983485255475411,0.20351632243709733,-0.3135111102576581,0.27860375677545723,0.13495754490219972,0.19562469668972526,0.1107013243309742,0.09370484001017289,0.18070084774400968,0.09043153649848547,0.11013514866229304,0.1322940230573078,0.10730012575531792,0.18510180208393784,2.229206153050426,2.3835827849158018,1.1289646304493166,4.763948502171188,-1.5186335446851222,-1.3827506592506378,-1.8009557162875984,1.538363697269506,-2.9218149377809106,1.5051380031898296,0.027743160953683926,0.018782867355163966,0.2612623080619851,5.588536106044399e-06,0.1315992167324779,0.16942050105993806,0.07433060231929814,0.12670672354640458,0.004190248227125245,0.1350302928135224,21.86850466933602,22.10031028392338,26.72864034738501,82.47417117678333,22.14532653711374,71.75105818051887,71.19412664336012,30.928050746315527,82.47417117678333,26.966705733130055
1450.0,1176230.95814277,1905725.84936769,2.0003443530343503,0.1615343765144357,1.5952557941306784,0.4050885589036719,0.6650603693820105,0.43710306841098295,-0.022375393564166447,-0.1079699164873465,0.43884024931972293,0.033335550996836126,-0.12890308542784906,-0.22378291889643961,0.019362782720243662,-0.3123881367792982,0.5184273983737392,0.13771566142174044,0.07732516568038666,0.09741716668949209,0.09447455464727038,0.09882964304767734,0.09094326888488863,0.11431276435299537,0.12111236984448694,0.10712489473174745,0.21325632484224769,3.1739532301442357,-0.289367547644866,-1.1083253614990702,4.645062905648767,0.3373031609630969,-1.4174010568171684,-1.957637190938737,0.15987452598860247,-2.9161114936126897,2.431005967852236,0.0019296036559868727,0.7728211576368413,0.2700339156374744,9.107181039353013e-06,0.7365032318437255,0.1590693802182737,0.0526951223262023,0.8732603856722513,0.004262156492514485,0.016601191961287627,25.383037681432043,25.8899165976356,37.1659744079828,77.14315621876544,26.047433056852977,67.83189746525449,63.814501499226274,41.476497834591925,77.14315621876544,37.81997506608561
1460.0,1163333.20913876,1926705.98506723,-0.3010915320918673,-0.28472156121911874,0.022951210938232047,-0.32404274303009933,0.7457431954845837,0.29652909618853496,0.4761793492698016,0.14417654473926503,0.4473586261815805,-0.2937028296940863,-0.12461788084278079,-0.19690718688746095,0.21554309063295696,-0.31364215525360795,0.2745838302284579,0.1343657866677947,0.19613156647132,0.11107557563211601,0.09370613007868413,0.18319359472500524,0.09040205762558497,0.10987565564274572,0.1366920025615456,0.10734850177458433,0.18111098166090295,2.2068794709003714,2.4278567587917195,1.2980040294076884,4.774059347087942,-1.6032374392509092,-1.3784850048314863,-1.7920911209639847,1.5768522414901973,-2.9217189813436724,1.5161081217182384,0.029308738337583955,0.016738755195368445,0.1968832614255542,5.359353897748933e-06,0.11162534467498852,0.17072937989792544,0.07574789686505627,0.11757648416950872,0.00419144875576529,0.13223601494746948,23.052351011507923,23.586229461939013,28.09451359340367,81.13616001638836,23.911046241941804,70.42817946855227,69.90151361991106,31.07245631178502,81.13616001638836,28.379291405524658
1480.0,1159616.1951193002,1930951.29758318,0.3471278936455398,-0.07243838414788323,0.6462676802297902,-0.2991397865842504,0.7570469572664257,0.286278095721533,0.49326830914029407,0.17634642879336335,0.44832229060962786,-0.28545462766721647,-0.12421880187967671,-0.1932274913724884,0.21321591959659586,-0.31355368012183965,0.263418469636392,0.1314965794851557,0.1957749756327317,0.11195176465782761,0.09369150695725154,0.18778474952268442,0.09031334469248943,0.10949926530012812,0.14352986945577437,0.10750679027196988,0.17433978508384884,2.177076368392154,2.519567720777815,1.5752000813238927,4.785089974208475,-1.5201161350577805,-1.3754202360972565,-1.7646464644568014,1.4855160142279218,-2.9165941921306913,1.5109486885606787,0.03151823055985792,0.013122574237642926,0.11795736335051486,5.119720158367682e-06,0.13122649732116176,0.1716745046700245,0.08027808342848644,0.14014339154402758,0.0042560270618397286,0.133544507088045,24.718398149402045,24.81748059589637,28.776392050875742,78.54770706606978,24.843074634948717,68.11059800174847,67.52202353186405,30.054746953192762,78.54770706606978,28.90505647785142
