station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_RD,beta_LUI,beta_LUM,beta_GBS,beta_TS,beta_ES,se_Intercept,se_TL,se_RD,se_LUI,se_LUM,se_GBS,se_TS,se_ES,t_Intercept,t_TL,t_RD,t_LUI,t_LUM,t_GBS,t_TS,t_ES,p_Intercept,p_TL,p_RD,p_LUI,p_LUM,p_GBS,p_TS,p_ES,sumW_Intercept,sumW_TL,sumW_RD,sumW_LUI,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES
560.0,1176444.43423897,1898979.0284974,0.901802400412615,0.04053932282465256,0.86024953671339,0.04155286369922495,0.7681025714470202,0.2137714059356742,0.05505505347284644,0.06986944241820504,0.4006311299143565,-0.10127201945346127,-0.2547426821016825,0.12870435081731255,0.0018573599464472294,0.12603664636653122,0.06339991550117677,0.0934404416892432,0.09431184733892398,0.1297003349953771,0.11596195647752874,0.09713725278874231,0.0994416794630672,1.6961051574952153,0.8683773951059062,0.7477430666538508,4.247940648162977,-0.7808154038852013,-2.1967780627351425,1.3249741692533092,0.018677881915068178,0.09257146358653132,0.3869963620227769,0.45614147156848495,4.401182280914489e-05,0.4365154145501281,0.03004200676978313,0.18780638142787315,0.9851304402687135,28.169026294676865,27.61692190275289,27.814097477384763,34.036666976100335,75.11192242571157,36.638388020682676,58.944019822902135,75.11192242571157
570.0,1157455.12068528,1914787.23945613,0.540029964702688,0.3394512437555254,0.4690031964885377,0.07102676821415033,0.7750743336145114,0.5364831242446806,0.3542071999642127,0.3166825370307552,0.7311752650113569,-0.07799494734578526,-0.03523111204288497,0.13156168496974327,0.011592399378748803,0.12302638614995123,0.17079061635976403,0.1411083039653812,0.18300485528464222,0.13154232418033457,0.10775804752037228,0.09373572524857392,0.09802587722856375,4.360715949103681,2.073926586330062,2.2442516005893496,3.9953872473716667,-0.5929266327912839,-0.3269464587897653,1.4035383480616408,0.11825856300902243,2.839115481096469e-05,0.04031866283371798,0.026729813088801825,0.00011433037354010661,0.5543944725971712,0.7443027211249387,0.16315087400224346,0.9060691023674496,10.941836924728994,10.587413467139996,10.87916142021922,17.180191655065002,83.93327639236743,19.07030271054655,66.12744343410749,83.93327639236743
590.0,1162783.21413024,1910383.12246002,0.7282120574433171,-0.1321775388230102,0.728755028676315,-0.0005429712329979575,0.8114933965213887,0.42353909490906816,0.35996391416713996,0.08596606229984885,0.47342889689057666,-0.08237326550758962,-0.0971519424104551,0.13213287844118557,0.009322613723857875,0.11860894667892953,0.15835340212127214,0.1296325478316007,0.10501529928869416,0.13102388935293688,0.1101273574090038,0.09501857120084445,0.09826328412295146,3.570886571108117,2.2731681753920765,0.6631518375425527,4.508189759942393,-0.6286889048584272,-0.8821780953995011,1.390600561251244,0.09487382603855372,0.0005205522763993721,0.024872819311550897,0.5085604066482269,1.5830479439805242e-05,0.5307994802574809,0.3795207409186033,0.16703177116909426,0.924580161090819,10.71307805328672,10.479831879684395,10.569938889417989,15.947434989643302,85.02225820075897,19.726478364922425,65.63199327218531,85.02225820075897
630.0,1175328.34617393,1908360.20047414,1.1197008966286999,0.9042643281658014,0.5210928354460299,0.59860806118267,0.7055410667411763,0.30003195528850096,0.06876398790597076,0.08071695854259163,0.40647233365141494,-0.08686202293165135,-0.22795425893524512,0.13982860893634294,0.006695740595614184,0.11864524944144787,0.06254728004572989,0.09405126790791139,0.09458125879057297,0.13060797387837345,0.11435624540466012,0.09651617981030909,0.0983780790396004,2.52881558006727,1.0993921375269344,0.8582229707059791,4.297599110532546,-0.6650591104991813,-1.9933695630580381,1.4487582207580034,0.06806130655304754,0.012799917419767869,0.2738932547900538,0.3925545493068199,3.6318503685237006e-05,0.5073442458823861,0.048588393358079365,0.15012636108190483,0.9458550283663453,22.94855007525142,21.18727607647028,21.1966229945442,30.45671243484953,79.48002615930821,33.361555384923896,62.18798367136162,79.48002615930821
650.0,1170472.73119341,1910775.10249239,0.551080179680427,0.20223620541376103,0.6094637512645973,-0.05838357158417029,0.7286882933449681,0.4052025371735417,0.16305768620635497,0.07491622023682155,0.41594489678936447,-0.08318628499746579,-0.1844465775186376,0.13737550642138516,0.008550210362393687,0.11959616419819213,0.07393298969572296,0.09914855400965643,0.0946641585119822,0.13090747631819355,0.11105413360146352,0.09528420211016937,0.09814284119458329,3.3880897425944947,2.205479406113992,0.7555956915874457,4.393900535615239,-0.6354586257187248,-1.660870888251267,1.4417448368046262,0.08712006151769724,0.0009644372263341516,0.02940942969940726,0.4514365020802106,2.492068742962739e-05,0.5263918066550197,0.09946347075596962,0.15209206914715848,0.9307275944400606,13.692634934128579,12.592271021269541,12.913783519335347,25.539938732772132,83.57198260960827,29.541570932970746,68.12331006882192,83.57198260960827
660.0,1169507.15116051,1913523.19132695,0.432021999468679,0.1880119355457867,0.5462971262196646,-0.11427512675098567,0.6976512172286151,0.4572662065493254,0.27530304759870144,0.05096650590575445,0.4326685337160376,-0.08042000579047659,-0.14748879641111703,0.14047215213020767,0.009865096363582267,0.11629770869993951,0.10682065893518007,0.10625076144321287,0.09550733310123243,0.13118730398918024,0.11142211859064705,0.09493618893887973,0.09792448126239314,3.9318591196763903,2.5772453600549152,0.4796813238180338,4.530212703745304,-0.6130166818361423,-1.3236940589235706,1.4796481057465258,0.10074188023675396,0.00014448263778697227,0.011223573982230284,0.6323650359555887,1.4493028316901382e-05,0.5410757622160007,0.18823001031997505,0.14170140963586228,0.91993079054043,13.472892935114732,12.891737788469117,12.895117140825464,20.867828592114666,84.22783420912465,24.593732514579997,67.67300645612988,84.22783420912465
670.0,1160063.30014371,1912699.74915018,0.572078525697975,0.2593540244343372,0.2535240028143314,0.3185545228836436,0.7867452681906801,0.4770956262804956,0.38156591459363304,0.182881233354468,0.5922035902935581,-0.0799257466138487,-0.06379237558267352,0.13174998397266288,0.010565648821730752,0.11644019142914554,0.16593399966058855,0.1330842447993941,0.160793656663574,0.13130280151953397,0.11159238114280265,0.09427169582780526,0.09811982915726802,4.097344915228955,2.2995041123224356,1.3741764371142196,3.6830034379566112,-0.6087131857727964,-0.5716552951857854,1.3975561043615328,0.1076810764192828,7.812324345984516e-05,0.023281039023850154,0.17205920178759831,0.00035274262926361156,0.5439150870574905,0.5686711738072723,0.16493669742963918,0.9144363227508713,11.58470915924543,11.364338149045038,11.568586290513494,15.082035971034466,84.80335136403174,16.65446722913034,66.6154163166502,84.80335136403174
680.0,1176848.36665534,1899477.04526587,1.06847945255926,-0.36572911703082545,1.1781882634408536,-0.10970881088159357,0.7646296190435191,0.21797445352306327,0.05503388984597442,0.07043757669549497,0.40096472761182855,-0.10054499293580797,-0.2552210513207538,0.1300266119796155,0.0020578944767981272,0.12597242929888025,0.06337652039152523,0.0934680012861885,0.09431786619606304,0.12974113473279672,0.11603442376448878,0.0973465895289941,0.09937051518073196,1.7303346036607774,0.8683640172415272,0.7536009728059022,4.251206518798083,-0.7749661905060525,-2.1995287522500004,1.3357079339783942,0.020709306709895722,0.08625305715426296,0.3870036524725774,0.4526290133227051,4.346110522908935e-05,0.4399501968540098,0.029840766229241252,0.18428225310798743,0.983513434093019,28.216021162268884,27.847669560071658,28.069156915951794,34.24036980351967,75.28763009089654,36.57248530332776,57.98229867762388,75.28763009089654
700.0,1141729.75260664,1902002.90459622,-1.3651394829393797,-0.9033131632820657,-1.1482328742519954,-0.21690660868738432,0.8177989262040908,0.011529734190803768,0.73075131089643,0.32050379162843323,0.8186625958925768,-0.08908405920819151,0.06886375600573387,0.08600142852124099,0.008066015661892623,0.09351973653447092,0.20234157828849997,0.1575281469140002,0.15060340887592005,0.1311412973600964,0.10877087966617294,0.09548569801809675,0.09981562501530604,0.1232866410669791,3.611473811153731,2.0345811076125133,5.435883569986527,-0.6792982912436702,0.6331083854160469,0.9006734024706163,0.0808091484740566,0.9020953311654506,0.0004525790716240092,0.04419312997841222,3.0991974043327416e-07,0.4983138383860214,0.527919867214284,0.3696442972087546,0.9357341987011688,13.874266371877576,13.483733887225288,13.624550613828331,15.548829087269148,64.30784027407343,16.199447932107834,41.66693718141462,64.30784027407343
710.0,1174115.1544928001,1905746.07592771,0.9432010991652231,0.5344458566218062,0.6350612105475097,0.30813988861771335,0.7319877451199368,0.27440094004893173,0.05965877506464576,0.0769712667966584,0.404485690843972,-0.0899323115775167,-0.23194018052512713,0.13667879519337062,0.00550421024688242,0.1226319058723567,0.0629864585536145,0.09334490486178215,0.09451269709821944,0.1303552388108815,0.11489958841984431,0.09696590387909022,0.09869945581138355,2.2375982669187753,0.9471682713176167,0.8245899110469013,4.2796968371733435,-0.6899017822213489,-2.018633693252366,1.4095552119412986,0.05576738191344302,0.027173868137315996,0.3455390713198272,0.41131151523807874,3.892966508785071e-05,0.49164584063575656,0.04585188805059668,0.1613696526170298,0.9556238936419452,25.267419008925973,24.93134815781639,25.116628500027552,33.19584880673115,79.1090079659239,35.3174589808363,61.43062299495277,79.1090079659239
