station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_ES,beta_TL,beta_RD,beta_LUI,beta_LUM,beta_GBS,beta_TS,se_Intercept,se_ES,se_TL,se_RD,se_LUI,se_LUM,se_GBS,se_TS,t_Intercept,t_ES,t_TL,t_RD,t_LUI,t_LUM,t_GBS,t_TS,p_Intercept,p_ES,p_TL,p_RD,p_LUI,p_LUM,p_GBS,p_TS,sumW_Intercept,sumW_ES,sumW_TL,sumW_RD,sumW_LUI,sumW_LUM,sumW_GBS,sumW_TS
160.0,1175321.45695792,1898497.01044895,-1.19686761911152,-1.681835617601719,0.14483695193044083,-1.3417045710419608,0.6585915806864661,0.21642394568775222,-0.09544068199442138,0.002305436619779574,-0.04211146664940787,0.4476462563567627,-0.0887983237681079,-0.5051632403157437,0.14634716599796246,0.12799901421403215,0.11464611494616345,0.07165934266054078,0.10581089837631545,0.10875086380699898,0.14936360524264714,0.1480808992955828,0.11033596716046544,1.6908250974953705,-0.8324807346436404,0.03217217091567131,-0.3979879889086551,4.116254719145992,-0.594511116840354,-3.411400408282181,1.3263776968132674,0.0935788243428021,0.4068631186961631,0.9743905201979599,0.6913768954258126,7.274586080903264e-05,0.5533381625181745,0.0008926142422345849,0.18734272959886147,33.12879126364431,75.6256720539505,39.3864540694729,27.957890373284158,35.50483205068188,75.6256720539505,28.069619378949344,60.4890276039859
170.0,1165706.56389297,1901501.95688375,0.0105487762651293,0.9891845728003538,-0.5225390195209303,0.5330877957860596,0.7526591581430202,0.12551021715661714,-0.09503731915100919,0.010178966288196296,-0.015632554281178056,0.4546676174993279,-0.0820055898571676,-0.10297274537243607,0.13997793224823651,0.12475344948294154,0.11456482599171529,0.07129964750924088,0.1046421452328509,0.10760411548185447,0.14928865996631294,0.15095537880386206,0.10985393936638356,1.0060661062023706,-0.8295505913645936,0.1427632063240851,-0.14939061356580868,4.225373866634307,-0.5493089017991869,-0.6821402866752411,1.2742185947595723,0.31649596270820723,0.40851156221216733,0.886727030255327,0.8815070918079071,4.800460717798134e-05,0.5838585653880204,0.49652188460778734,0.20515490917823423,20.973963393484038,79.83946845397077,34.25602059790208,11.05377181394772,27.704750815763155,79.83946845397077,11.07112386665945,62.778077891471476
190.0,1175756.53587033,1881859.32211346,0.595517505497489,1.2110610429597326,-0.19889957007551679,0.7944170755730058,0.7023340002266585,-0.024007900415183216,-0.0934903586223275,0.011831035343620904,0.4388815820756602,0.5156154742760325,-0.11344116486831032,-0.35180163721774166,0.11689273891879087,0.12212167279093405,0.11556488002044477,0.0735729400779237,0.16424952081087735,0.10501815472910866,0.14715028299570007,0.18392033257907967,0.10734078060999207,-0.19659000623323833,-0.8089859013031293,0.16080688539958085,2.672041780755049,4.909774653782938,-0.7709204668782406,-1.912793611693142,1.0889872260525524,0.8444953915754548,0.42019380860152655,0.8725276476743674,0.00863388106982158,3.0395270728615822e-06,0.44233509556210704,0.05826141462216561,0.27843633060496903,15.014802402566268,73.96336305250064,27.127783916341375,11.06200320042346,18.475603681016572,73.96336305250064,11.247465811568034,59.99009632634569
210.0,1163335.47601876,1890260.80487328,-0.643869420284969,-0.2047242063657378,-0.5576913745216303,-0.08617804576333865,0.6638264744345972,-0.05464295219467557,-0.09563973424620881,0.007512883904530415,0.15416688818726382,0.5067856272007222,-0.1007106145844415,0.0027831276424041436,0.11326937742881248,0.11026101141841245,0.115333242273215,0.07328968303548015,0.1404794995382448,0.10556471571314256,0.14780412268644544,0.14083358766310705,0.10825941987368294,-0.49557818753647637,-0.8292469054121111,0.10250943370697024,1.0974333528664992,4.80071038677205,-0.6813789274206578,0.019761817394453946,1.0462773360597641,0.6211377488073102,0.4086826403498709,0.9185308602463256,0.2747445706046243,4.7980754293557026e-06,0.4970016002889458,0.9842676237458611,0.2976271574263987,17.49737215469445,76.42903150517762,27.599975032400053,11.691935828212777,19.48329692572563,76.42903150517762,12.087010863325293,58.98124214226655
220.0,1159883.32292754,1897892.77774439,-0.97962588212015,-0.46265217439840434,-0.8383075432591001,-0.14131833886104994,0.7662675933481846,-0.09567407685407038,-0.09668740762787274,0.022657398382308017,0.20707616415068889,0.5976000929429042,-0.08703176168283414,0.0010243395571761047,0.12165415980627832,0.11656782863107865,0.11523888556409952,0.07199152387975477,0.12088571692811781,0.11512532556563229,0.14884545556185966,0.13479928521234097,0.10921499283143157,-0.8207588489690911,-0.8390172046057505,0.31472313907609417,1.7129911573740548,5.190865606735816,-0.584712253083629,0.00759899843357868,1.1138961478855385,0.4134817557334717,0.40320034031966845,0.7535421763165524,0.08940893282289983,9.121097073136518e-07,0.5598866272398965,0.9939501014247557,0.26764643533500526,14.980180865707752,74.61233919992853,31.267764368552196,13.257128990607324,16.967048745463508,74.61233919992853,13.31764927816811,58.607012280142655
240.0,1177486.45894394,1852436.46589406,0.7363676089447511,1.245003276230904,-0.39583450623399447,1.1322021151787456,0.5763814025399762,-0.07373677489003783,-0.09193831134609881,-0.021999721022304203,0.3554456699392552,0.6116578062211907,-0.13444364808543524,-0.3663915242148168,0.06858494401767588,0.1062181754764219,0.1165702494037134,0.08503664165795219,0.1507665974896425,0.13846556474598626,0.14589262740029624,0.15084235132628518,0.1060459517133225,-0.6942011059717907,-0.788694472357971,-0.258708723596999,2.3575889875983567,4.417400148139872,-0.9215246204083528,-2.428969854906862,0.6467474043995929,0.48895610267682543,0.4319134906909654,0.7963224695000671,0.020083455723542896,2.2714288987500078e-05,0.3587058018719689,0.016690017697710138,0.5190841922954321,17.062951872987142,58.337345416251715,20.199187959181234,15.843790372924945,17.82342552575195,58.337345416251715,15.887298978540954,45.37582887610233
250.0,1155108.3249071,1897455.04718398,-0.7239809295843621,-0.009367008916118524,-0.8937778098551236,0.16979688027076145,0.7189805164403983,-0.12377439858154338,-0.09635326529109635,0.05652143942464791,0.292964184379003,0.773022528440311,-0.08669066907805076,0.021109963856510372,0.11292315970723443,0.10717297002990017,0.11548381210007196,0.07448187396019906,0.13956623188805703,0.13892780468882251,0.14872857389010155,0.12854784259693977,0.10874726506316015,-1.1549031303976327,-0.8343443426304795,0.758861672235198,2.099105065858503,5.56420314977096,-0.5828783723974129,0.16421873311946908,1.03839999692543,0.25052422216085757,0.4058167825966519,0.44948787988548555,0.03799545739232302,1.742328489778537e-07,0.5611164042934558,0.8698472376459019,0.30126226507235593,17.36056245575157,71.27725874693374,25.739010342675247,16.320317084109575,18.374893609557322,71.27725874693374,16.403732133405892,55.902197686309194
260.0,1176356.59423889,1901743.42939598,1.8565102824783302,0.2851903729661591,1.37241627705257,0.4840940054257601,0.6405445111523034,0.24451319679430894,-0.09368194336158849,0.006282888806281314,-0.036179171904011306,0.44907730229081744,-0.0836387276242739,-0.5059257952862671,0.1550269177627209,0.12901992405665474,0.11415923114401755,0.07120213056072308,0.1062174925032166,0.10905422434986424,0.14952844621083683,0.14686094943618105,0.11122926168998815,1.8951584306230038,-0.8206252128958722,0.08824017984859453,-0.34061406507892933,4.117926700850232,-0.5593499413906993,-3.444930713226248,1.3937601976969252,0.06058210610150934,0.41355758238086604,0.9298392610398031,0.7340155816289355,7.228785103468204e-05,0.577010661244141,0.0007980667005001949,0.1660775615390795,32.6072268237563,78.1871730587123,38.73903600482847,28.363900405570934,34.78413491443088,78.1871730587123,29.47038295915589,57.86404562702528
280.0,1138825.73519593,1902065.79330028,-0.549306480474489,0.21171573412459554,-1.1604522409278217,0.6111457604533327,0.7426583061725204,0.0007457507740315453,-0.09123904400601256,0.2770156809979136,0.36215880023403935,0.8351886129966207,-0.07663057835580349,0.05910686477999409,0.0981042259409113,0.09950442394321314,0.1156398067762071,0.1340426641043133,0.1854050606028169,0.17101003724065156,0.14926256300511562,0.12767520560108928,0.10935306001939483,0.00749464942842283,-0.7889933972527616,2.066623211713677,1.9533382694977905,4.8838572663504705,-0.5133944963358104,0.4629470890743552,0.8971328824589961,0.99403317670072,0.4317394602451853,0.04101496807832679,0.05320846069990452,3.389666308394216e-06,0.6086603211537972,0.6442771516058168,0.3715222959799849,14.188420094285098,61.12639178309789,16.09960833061029,12.22959094548973,14.77761719493449,61.12639178309789,12.718652162599872,38.64164607855207
290.0,1166854.40799004,1862752.12183966,-1.5469794967140902,-1.1118866985618452,-0.7839360839244176,-0.7630434127896726,0.5994037766348586,-0.12237437607156593,-0.09302486083676599,0.03124041189488852,0.15767964017836567,0.7202454130654776,-0.1309102955969389,-0.36085520509979885,0.07408110273412846,0.10150940591501212,0.11641425361296319,0.08897632551148023,0.13834529696895706,0.13561480229734885,0.14588597578562593,0.14644663406772984,0.10568823697403318,-1.2055471605658181,-0.7990848023304881,0.3511092609781655,1.139754249931221,5.310964591359787,-0.8973466770329367,-2.4640730556696004,0.7009399045262685,0.2304668120213214,0.42588856014023635,0.7261487967890126,0.25675705352684036,5.391801715247283e-07,0.3714087230552152,0.01521636589156673,0.48475639363993817,18.879674023600188,63.782247522913444,21.952588534555538,17.317021559332936,19.35078813677436,63.782247522913444,17.384995823394014,51.38318858796617
