"station_id","stationname","LINES","POINT_X","POINT_Y","TL","BS","RD","BD","LUI","LUM","LS","GBS","TS","ES","avg_rides"
30,"Pulaski-Lake","Green Line (Lake)",1149789.47306214,1901420.43035568,-0.390411915909135,-1.5546553883232,-1.39382902718801,-0.545462187058329,-0.637689276744398,-0.224592403272271,0.353981877614292,1.03166654643595,-0.607616357619196,-0.514823357443836,-0.978195085747856
40,"Quincy/Wells","Brown, Orange, Pink, Purple (Express)",1174769.55910141,1899173.22932958,2.62877356712151,1.23311685385124,2.22974727090285,3.15196519534275,1.55881792579987,0.149129659558178,-0.540841475223032,1.76503705859468,0.881565867618273,-0.842143591057895,0.111421528388571
60,"Belmont-O'Hare","Blue Line",1153202.40157732,1920656.94749359,-0.390411915909135,-0.49722453784324,0.334740543500888,-0.500113718841606,-0.576675187784835,-0.5522377419984,0.532946546571075,-1.04010515647651,0.227778552570002,-0.275627798907493,0.312532583557873
70,"Jackson/Dearborn","Blue Line",1175981.49715054,1898986.07233741,-0.390411915909135,2.00215747238212,0.551440976110078,2.39654695381248,2.03930387635643,0.786746027965967,-0.860421246969723,1.39835180251531,1.02685193000148,-0.38893095257884,0.513859631617786
80,"Sheridan","Red Line",1168782.69906383,1926475.82647501,-0.390411915909135,0.752466467269437,-1.18855509375449,-0.402131767720038,-0.119069520588113,0.067818621440848,0.0243101118040093,-0.0761089228936061,-0.520635883351051,-0.57975733606752,0.634982730668468
90,"Damen-Brown","Brown Line",1162299.35492979,1931030.29073525,-0.390411915909135,-0.5933546151596,-0.470613272538806,-0.394695435588077,-0.500407576585381,-0.601310226730024,0.532946546571075,0.00494782594855489,-0.861866983951727,-0.162324633339313,-0.353353298181331
100,"Morse","Red Line",1165641.09906091,1946344.11935752,-0.390411915909135,-0.304964383210521,-0.789017382436632,-0.393512642583709,-0.515661098825272,-1.03708312901061,1.01989692751738,-1.13220285603438,-0.0458998615733516,-0.40210574203952,0.505664257119309
120,"35th/Archer","Orange Line",1162147.77912165,1881157.78688081,-0.390411915909135,0.464076235320358,-0.418797985645046,-0.536052767069431,-0.668196321224179,0.424388057555131,-0.307409297972732,0.724766936902758,-0.497072605547494,0.0790603586354696,-0.285771539733467
130,"51st","Green Line",1179151.84211349,1871283.07634361,-0.390411915909135,-0.208834305894161,-0.956112582032317,-0.508728899998042,-0.607182232264616,0.68627496928668,-0.454245668182874,-0.417331652131762,-0.136022459750795,0.195859550987068,-1.46296746417213
150,"Pulaski-Cermak","Pink",1150164.33155849,1889923.88301697,-0.390411915909135,-0.0165741512614414,-0.229735166225064,-0.501453657658569,-0.591928710024725,0.78156674684886,-0.540841475223032,0.564976215791519,-0.723184827254331,-0.955446756626075,-1.02986595416412
160,"LaSalle/Van Buren","Brown, Orange, Pink, Purple (Express)",1175321.45695792,1898497.01044895,2.62877356712151,0.944726621902157,1.53483391008689,2.00378155971894,1.25374748100205,0.526940317165038,-0.638458567381277,1.36301667824809,0.816187132681062,-0.436312274198837,-1.19686761911152
170,"Ashland-Lake","Green (Lake), Pink",1165706.56389297,1901501.95688375,0.615983245101079,-1.17013507905776,0.0343928906615597,-0.481313259291784,-0.561421665544944,1.16146272943266,-0.903607699346271,2.21100562124633,-0.315571723206864,0.330697219365323,0.0105487762651293
190,"Sox-35th-Dan Ryan","Red Line",1175756.53587033,1881859.32211346,-0.390411915909135,-0.401094460526881,0.738010949445006,-0.458851369334751,-0.576675187784835,1.36616530346575,-1.53793035662998,-0.54508006683343,0.227778552570002,2.78355751677454,0.595517505497489
210,"Damen-Cermak","Pink",1163335.47601876,1890260.80487328,-0.390411915909135,0.0795559260549185,-0.551026960110066,-0.48625242086158,-0.538541382185108,0.867999609031121,-0.876400235557058,-0.235689377143563,0.472948791422624,1.12649880659195,-0.643869420284969
220,"Western-Forest Park","Blue Line (Congress)",1159883.32292754,1897892.77774439,-0.390411915909135,0.0795559260549185,0.405460134826145,-0.556460631736158,-0.729210410183742,1.05110370096696,0.532946546571075,-1.53513026344547,-1.24324291486957,1.42391960133738,-0.97962588212015
240,"79th","Red Line",1177486.45894394,1852436.46589406,-0.390411915909135,-0.0165741512614414,0.316891123032837,-0.544341288521293,-0.668196321224179,0.40824816698512,0.0427389719294219,-0.0285321298799861,0.249097703774578,0.0790603586354696,0.736367608944751
250,"Kedzie-Homan-Forest Park","Blue Line (Congress)",1155108.3249071,1897455.04718398,-0.390411915909135,0.944726621902157,0.482378759807072,-0.514512203525577,-0.668196321224179,0.860502035623767,-0.657557567874887,-0.0285321298799861,-1.24324291486957,1.63082101963095,-0.723980929584362
260,"State/Lake","Brown, Orange, Pink,  Purple (Express), Green",1176356.59423889,1901743.42939598,3.63516872813172,2.09828754969847,2.69359865148744,2.31846467327719,2.63419124371217,0.140728265496186,-0.452536541260071,0.630604547057711,1.72998394411342,-0.877178130812952,1.85651028247833
280,"Central-Lake","Green Line (Lake)",1138825.73519593,1902065.79330028,-0.390411915909135,-1.26626515637412,-0.734656275039636,-0.497508191531036,-0.660569560104234,1.06720929650152,-1.21195899589108,0.630604547057711,-0.528163031527181,1.52305986228691,-0.549306480474489
290,"Ashland/63rd","Green Line (Englewood)",1166854.40799004,1862752.12183966,-0.390411915909135,-0.68948469247596,-0.40527220016845,-0.522951281222275,-0.630062515624452,-0.161284517646669,0.41789783196363,0.321213857367844,-0.630317300576093,-0.105673062452055,-1.54697949671409
