"station_id","stationname","LINES","POINT_X","POINT_Y","TL","BS","RD","BD","LUI","LUM","LS","GBS","TS","ES","avg_rides"
1420,"Addison-North Main","Red Line",1169155.59813618,1924165.78538486,1,54,14.49949517,0.837410195,271,0.41444881,0.833948339,0.05904059,0.055350554,0.022140221,8.43828239191249
1430,"87th","Red Line",1177647.63808009,1846956.57340895,1,31,13.15619794,0.170250623,45,0.441551671,0.866666667,0.066666667,0,0.066666667,7.39428821017908
1440,"Addison-Brown","Brown Line",1163413.93822683,1923975.42941668,1,38,16.0729716,0.446448199,88,0.390599256,0.840909091,0.056818182,0.022727273,0.068181818,6.9923090634001
1450,"Chicago/State","Red Line",1176230.95814277,1905725.84936769,1,96,18.18679733,5.549850704,716,0.503994526,0.759776536,0.058659218,0.139664804,0.025139665,8.7813067545309
1460,"Irving Park-Brown","Brown Line",1163333.20913876,1926705.98506723,1,27,14.73508283,0.503438267,95,0.499739787,0.757894737,0.147368421,0.010526316,0.052631579,7.26528162508105
1480,"Western-Brown","Brown Line",1159616.1951193,1930951.29758318,1,43,14.77981848,0.430536641,160,0.388557532,0.85,0.05,0.04375,0.025,7.5882243921882
1490,"Harrison","Red Line",1176488.61907101,1897480.33051201,1,65,16.48270759,4.208564227,394,0.670102653,0.64213198,0.121827411,0.152284264,0.065989848,7.61065280922776
1500,"Montrose-Brown","Brown Line",1163255.95192269,1929339.66570968,1,33,14.40352075,0.557614172,108,0.339775775,0.87962963,0.037037037,0,0.074074074,7.11556938339448
1510,"Morgan-Lake","Green (Lake), Pink",1169742.11896873,1901630.35829187,2,28,22.05538022,0.876642197,231,0.267772694,0.9004329,0.043290043,0.043290043,0.008658009,7.86534450359794
1660,"Lake/State","Red Line",1176365.32127889,1901404.02433966,1,94,24.44135116,7.812964403,889,0.606653915,0.670416198,0.123734533,0.16647919,0.01799775,9.06434575264224
1670,"Conservatory","Green Line (Lake)",1152209.0952084,1901252.71835552,1,25,12.58108453,0.168206636,64,0.620451491,0.6875,0.046875,0.15625,0.078125,6.29551197364603
1690,"Cermak-McCormick Place","Green Line",1176844.65337534,1889858.01703291,1,58,16.96397619,1.179385413,183,0.604850874,0.68852459,0.109289617,0.147540984,0.038251366,6.95546175626836
1700,"Washington/Wabash","Brown, Orange, Pink,  Purple (Express), Green",1176812.47724731,1900828.68763513,5,84,21.76306408,7.279378371,783,0.639013264,0.646232439,0.120051086,0.183908046,0.025542784,8.69854695979258
