station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_RD,beta_LUM,beta_GBS,beta_TS,beta_ES,beta_LUI,se_Intercept,se_TL,se_RD,se_LUM,se_GBS,se_TS,se_ES,se_LUI,t_Intercept,t_TL,t_RD,t_LUM,t_GBS,t_TS,t_ES,t_LUI,p_Intercept,p_TL,p_RD,p_LUM,p_GBS,p_TS,p_ES,p_LUI,sumW_Intercept,sumW_TL,sumW_RD,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES,sumW_LUI
740.0,1160828.02104042,1890198.73280923,-1.0622805943326203,-0.43524290987646874,-0.8835082239777301,-0.17877237035489024,0.8296004387018332,-0.015415050569637018,0.388334081626712,-0.03259523996243888,-0.24615352831510712,-0.00206023142648157,0.1127419275476136,0.22136316791233698,1.0527856503750275,0.10565481374267624,0.12938764095513522,0.1283934702518448,0.18678652822189087,0.10752170542120655,0.11188879504240815,0.12133847526099382,0.1662579262831474,-0.1459001253570953,3.001322837019385,-0.2538699195411033,-1.3178334147454784,-0.01916107467241893,1.0076248252104432,1.8243444005390241,6.33224336373635,0.884255666712678,0.0032973625124604446,0.8000493934091286,0.1901786051771022,0.9847458148662039,0.3157500427865659,0.07069623869911777,4.838401905535229e-09,13.09270704667522,13.09270704667522,12.979601668429156,36.31388948818572,18.817723593801816,73.85929059010532,73.85929059010532,12.698016810164123
750.0,1126838.69876877,1936585.06680443,-0.20533665362157416,1.0194923346653089,0.05306590312153092,-0.2584025567431051,0.7514828087599941,0.6277610516499879,0.33246332882197555,0.09911497978873574,-0.11650233913867629,0.2236668773164794,0.09936537886588505,0.20974345990193866,1.1281265795628235,0.11672497856734995,0.18828224473506003,0.17365128674655378,0.1746834880654007,0.11655310439260318,0.10962350436901896,0.12168917420655884,0.28581059635446815,5.3781209416780635,1.7657710066597032,0.570770200703409,-0.6669338952921431,1.9190126121657727,0.9064240323078652,1.723599993750585,3.947112507206338,4.0070471676508965e-07,0.08008817325780979,0.5692690606563459,0.5061503107257763,0.0574610772470029,0.3666067545306233,0.08746751427470524,0.00013661755820356663,8.532118154612318,8.532118154612318,7.916197172933983,19.054413051189417,13.743507517109888,58.84029100348027,58.84029100348027,7.790463347432294
760.0,1167506.03909464,1941002.51448854,0.15279343484162775,0.49792232831367467,0.015491678063701664,0.13730175677792608,0.6349197504024564,0.602313305538837,0.4873430443102238,-0.12100864275173148,-0.08531811510261168,0.21694942178426302,0.09422011892775456,0.21097250016808644,1.1868798804346476,0.12318789813038972,0.16703591650819796,0.15353250814908234,0.17967057452596058,0.12301172006133887,0.11066740039537065,0.12074082010661888,0.3006021347554407,4.889386982650773,2.917594338378749,-0.7881630034613275,-0.47485858676476866,1.7636483879428955,0.8513809720942528,1.7473171043710773,3.948341489325255,3.3118183846339982e-06,0.004243352712026986,0.43222300709392314,0.6357883379487099,0.08044694666536602,0.3963271321047833,0.08325177349865039,0.00013600196663696425,21.793925103656388,21.793925103656388,21.36267881091708,29.619041983899308,24.041562511183873,72.09325889496291,72.09325889496291,20.924450684080323
780.0,1152737.52861689,1889991.51591303,-1.2809772529719383,-0.636716151891413,-1.0954229205449866,-0.18555433242695174,0.8057002550260703,-0.01220602472481928,0.5333147320539355,-0.0020763492236214962,-0.229164395920215,0.05357135963562433,0.11508532831879023,0.21928760204457012,1.170389318230435,0.09888659049231979,0.168298039412799,0.12652125922651722,0.18480777257624545,0.11005945878680752,0.11202567110458422,0.12140647264561832,0.17988948644965816,-0.123434579593148,3.16887073619336,-0.016411069857470408,-1.240014923212548,0.486749255594611,1.0273121078770382,1.8062266143310475,6.5061574265929485,0.9019784500854426,0.001960872720183308,0.9869348865365879,0.2174941113956165,0.6273624410972345,0.30642948488348504,0.07349833419283912,2.0874273498362407e-09,15.469356295929272,15.469356295929272,15.459074639588867,29.695592091748907,17.497828257307127,66.14294086393635,66.14294086393635,15.368178454167486
790.0,1175951.62118251,1899904.51841827,0.7953607957370259,-0.3983321870584078,1.0906969040308705,-0.2953361082938446,0.7542083533292993,0.21744121289878696,0.0755377072206865,-0.06441256465286876,-0.22956347390300288,-0.26481960367025786,0.10495656356412326,0.2166362065649763,0.5742596619168926,0.12603671689055837,0.05816749631407827,0.11006703219110867,0.18921740768844084,0.12017551620576261,0.11245929671944344,0.12067788857785866,0.11293108353799082,1.7252211757276887,1.2986240083777532,-0.5852121509102712,-1.213225974858479,-2.2036069578169144,0.9332849006335374,1.7951607300885737,5.08504517911322,0.08717389536512621,0.19667101411329588,0.5595516319077022,0.22752952748830177,0.02954456557851787,0.352628282527192,0.07525461182146286,1.4414265285666714e-06,29.424003289782842,29.424003289782842,28.91558634889366,44.90375587879196,35.12014214254735,76.68855958264248,76.68855958264248,28.362215610932427
800.0,1173161.40626791,1910707.27350033,0.3613723847142538,0.27715041932814344,0.40555963742258105,-0.04418725270832724,0.7194016733859179,0.34791249232721994,0.11004730810413618,-0.047119459249006596,-0.17235672625785217,-0.19751963323000385,0.099077920380682,0.21339311962156576,0.5999479917282814,0.1176194783169396,0.05816440337257074,0.10861338544548461,0.1871432894427823,0.12472540360486124,0.11216952241425883,0.1201451136643651,0.11347925508326737,2.957949629650019,1.8920044171901962,-0.4338273690277048,-0.9209880128271924,-1.5836359516282648,0.883287351574632,1.7761281596328282,5.286851691862616,0.0037599777862125463,0.06100523289700599,0.6652265717187673,0.35898469452633675,0.11602284793199329,0.3789238056222156,0.07835641204705646,5.995205357688404e-07,16.593141580218553,16.593141580218553,16.162377099679034,39.23915435365127,28.05921421436976,81.9669378850131,81.9669378850131,15.715035330329119
810.0,1163828.91499522,1897961.33198446,-0.18332856769100767,0.25633457351655875,-0.19070135829136187,0.007372790600354201,0.8749122161112663,0.02932631766148343,0.18355638617715267,-0.05056521458535471,-0.2318109659046261,-0.09001985221119006,0.10467950442431066,0.2152527670073713,0.8256408036030293,0.12428039652365726,0.08818973192498865,0.10140989453917362,0.18979303475848774,0.10679865099665067,0.11260577237946182,0.12066413102100819,0.1303262407947447,0.23596897404411687,2.0813804756009446,-0.49862210009322,-1.2213881621083003,-0.8428931580232525,0.929610465008481,1.7839001962388872,6.335184676302906,0.8138764870495943,0.03961850319197133,0.6189980111515443,0.2244370844239514,0.40103789237818044,0.3545200414153775,0.07707727083106553,4.770490372069942e-09,11.092238794187999,11.092238794187999,10.80346676878239,42.806414945121155,23.45616275455366,76.26712646747683,76.26712646747683,10.364248726047688
830.0,1165182.26334848,1891511.43450645,-0.542960810488149,-0.19439809771333327,-0.30375060263921705,-0.239210207848932,0.8330765072945185,0.009952940755729738,0.2126310027451076,-0.0629132335325134,-0.25094483675669527,-0.07197731809889639,0.11096923660057527,0.22118314740811723,0.8050458132683622,0.11374526851448674,0.0878393506397593,0.11671485644064526,0.18749511874179264,0.10421137957780677,0.11192366414464809,0.12126020139359661,0.12883283488201686,0.08750201995841364,2.4206804945215867,-0.5390336367719185,-1.3384073059644923,-0.690685781058645,0.991472513419152,1.8240374406948432,6.2487627009497295,0.9304246643847027,0.017056021533841125,0.5909056536006891,0.1834038447981892,0.4911547570767373,0.3235364668693109,0.07074296329815215,7.217898918903724e-09,11.023490782268091,11.023490782268091,10.931300011256592,40.88116228008844,21.878281465940816,76.75204980568182,76.75204980568182,10.61898448319577
850.0,1176281.20684682,1898524.19201698,0.43822584227562345,-0.5576783144014346,0.8600068751518497,-0.42178103287622626,0.7621192803590972,0.21081360781335126,0.07566845235989819,-0.06649189751155873,-0.23741151365843627,-0.2719902351374641,0.10562790372042004,0.21706906157791536,0.572104458299399,0.12727666287106243,0.05827118215992013,0.11035715123311657,0.18877015536115982,0.12028738595957983,0.11252758800629817,0.12077882568516947,0.11295561255076274,1.6563414145051547,1.2985570148934473,-0.602515530426319,-1.2576750451055918,-2.261170055095062,0.9386845092112704,1.7972443459894432,5.064860836749417,0.10037880041081164,0.1966939408794605,0.5480172736022898,0.21105719518387833,0.025629129567894413,0.3498600946826683,0.07492129168090739,1.5719479220874927e-06,27.60747818555149,27.60747818555149,27.2460442577095,44.9032083524893,33.74175124974344,74.715470723675,74.715470723675,27.05704578628717
870.0,1156039.37233196,1930887.06155112,-0.9342130331890716,-0.9242484194434231,-0.5242636328730216,-0.40994940031605,0.6677501436892745,0.6329235996429926,0.42838009997746257,-0.07663951242802025,-0.08874677146384852,0.23209942622931867,0.09634291685551274,0.21089709989940042,1.1271802240669953,0.12456024523279287,0.163394160254028,0.15094576007746058,0.17917048965772656,0.11689678080028651,0.11054801904885178,0.1207951884433212,0.29756344054975437,5.0812648807820695,2.6217589374764825,-0.5077288185417814,-0.49532024851516276,1.985507424929445,0.8715028788796141,1.7459064604908192,3.7880333080720785,1.4650403753467793e-06,0.009931107941190679,0.612615948151354,0.6213192183230494,0.04946784325848125,0.3852954138566428,0.08349776572364942,0.00024318179241084487,22.980687120130572,22.980687120130572,22.80289742523228,31.241926964619815,25.966802670126608,77.84713154216999,77.84713154216999,22.79453410840934
