"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","BS","LUI","RD","BD","LS","GBS","TS","ES","LUM"
790,"Monroe/Dearborn","Blue Line",1175951.62118251,1899904.51841827,1,8.05645909445269,4,50,14.91695773,15.12163148,0.6,0.2,0.18,0,0.732374857
800,"Sedgwick","Brown, Purple (Express)",1173161.40626791,1910707.27350033,2,7.72053128523285,14,54,16.0262435,0.912395107,0.851851852,0.037037037,0.037037037,0.037037037,0.388247541
810,"Medical Center","Blue Line",1163828.91499522,1897961.33198446,1,7.29890666813712,24,15,19.60606297,0.782939426,0.333333333,0,0.266666667,0.2,0.982798115
830,"18th","Pink",1165182.26334848,1891511.43450645,1,7.02053409324981,11,51,13.90882739,0.380586553,0.68627451,0.137254902,0.078431373,0.039215686,0.636408342
850,"Library","Brown, Orange, Pink, Purple (Express)",1176281.20684682,1898524.19201698,4,7.78001954107986,5,27,19.7868289,4.231524288,0.666666667,0.037037037,0.148148148,0.148148148,0.691172454
870,"Francisco","Brown Line",1156039.37233196,1930887.06155112,1,6.71768613997251,4,11,15.39526914,0.355002805,0.727272727,0.090909091,0.090909091,0.090909091,0.638806718
880,"Thorndale","Red Line",1167550.17426268,1939762.06751139,1,7.26199864157066,8,23,12.11165648,1.655755798,0.782608696,0.130434783,0.043478261,0.043478261,0.526704075
910,"63rd-Dan Ryan","Red Line",1175808.13267038,1863399.65745627,1,7.05976922383476,13,10,20.28520147,0.189589039,0.7,0,0,0.2,0.729846699
920,"Pulaski-Forest Park","Blue Line (Congress)",1149758.98320612,1897220.94772777,1,6.72669880398759,18,11,19.28989698,0.300508381,1,0,0,0,0
930,"Midway Airport","Orange Line",1146620.91702719,1865394.75454613,1,8.47192751481953,11,30,15.87650457,0.142620337,0.9,0.066666667,0.033333333,0,0.353841291
940,"Halsted/63rd","Green Line",1172260.63647507,1862821.97015973,1,5.54396654006201,16,27,17.33367642,0.21224184,0.518518519,0.222222222,0.037037037,0.074074074,0.790677795
960,"Pulaski-Orange","Orange Line",1150270.22237459,1870257.60178265,1,7.9827282563524,16,26,10.89931106,0.292090264,0.846153846,0.115384615,0,0.038461538,0.469534272
970,"Cicero-Forest Park","Blue Line (Congress)",1144440.97667316,1896352.78926296,1,6.45540818497384,21,5,18.14627068,0.194721337,1,0,0,0,0
990,"69th","Red Line",1177260.46342373,1858977.89284415,1,7.57510590449807,30,10,22.07086103,0.244449312,0.6,0,0.1,0.3,0.817345422
1000,"Cermak-Chinatown","Red Line",1175600.57759818,1889880.86554493,1,7.79486676010538,19,106,18.05035075,0.321893867,0.660377358,0.113207547,0.169811321,0.037735849,0.633954093
1010,"Rockwell","Brown Line",1158091.02161388,1930925.25598316,1,6.75421552361363,6,29,14.62511559,0.380444658,0.896551724,0.034482759,0,0.034482759,0.321896831
1020,"Logan Square","Blue Line",1154263.50109831,1917602.19677075,1,8.1510698298605,24,103,16.53429372,0.4647695,0.844660194,0.058252427,0.058252427,0,0.43278602
1030,"Polk","Pink",1165039.42430835,1896486.58894308,1,7.54735068274952,21,40,10.97795423,2.033833368,0.325,0.025,0.175,0.4,0.822215766
1040,"Kedzie-Cermak","Pink",1155312.29879529,1890060.7219291,1,6.49955702747332,15,16,14.7949944,0.419560341,0.6875,0.0625,0.1875,0.0625,0.662230147
1060,"Ashland-Orange","Orange Line",1166283.2435735,1884759.33773216,1,6.95444052160801,11,21,14.57649204,0.06048315,0.904761905,0.047619048,0.047619048,0,0.346351686
1070,"Kedzie-Lake","Green Line (Lake)",1155033.73418703,1901060.63233934,1,6.49916765382899,11,16,12.91678343,0.207479297,0.625,0.125,0.0625,0.125,0.720864244
1080,"47th-South Elevated","Green Line",1179041.79692939,1873875.82873002,1,6.23957231448846,14,18,14.90819208,0.352282261,0.611111111,0.166666667,0.166666667,0.055555556,0.763753534
1090,"Monroe/State","Red Line",1176409.33715094,1899923.25429028,1,8.12864882262032,3,38,16.40848581,7.711254264,0.842105263,0.078947368,0.052631579,0.026315789,0.4298205
1120,"35-Bronzeville-IIT","Green Line",1177050.91513553,1882047.58707363,1,6.78483406546963,18,41,16.12339399,0.373733503,0.365853659,0.146341463,0.073170732,0.390243902,0.8066426
1130,"Halsted-Orange","Orange Line",1170942.96556184,1887545.79610276,1,7.29903130764402,10,8,16.63776143,0.084367063,0.625,0.125,0.25,0,0.819448372
1140,"King Drive","Green Line",1180024.5514903,1863287.02462416,1,5.37433388042246,19,11,11.2503582,0.322188455,0.818181818,0,0.090909091,0.090909091,0.546294702
1150,"Kedzie-Midway","Orange Line",1155746.78506769,1871922.53234421,1,7.67778906072535,12,20,5.611869441,0.224814953,0.85,0.1,0,0,0.471673418
1160,"Clinton-Lake","Green (Lake), Pink",1172561.88677935,1901699.06101194,2,7.67461567591885,11,107,19.99310638,3.30531157,0.906542056,0.028037383,0.046728972,0,0.293368663
1170,"Garfield-Dan Ryan","Red Line",1175717.82047829,1868822.88715732,1,7.26841990062075,15,22,21.46450387,0.10128888,0.954545455,0,0,0,0.266764988
