station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_BS,beta_LUI,beta_RD,beta_BD,beta_LUM,beta_GBS,beta_TS,beta_ES,se_Intercept,se_TL,se_BS,se_LUI,se_RD,se_BD,se_LUM,se_GBS,se_TS,se_ES,t_Intercept,t_TL,t_BS,t_LUI,t_RD,t_BD,t_LUM,t_GBS,t_TS,t_ES,p_Intercept,p_TL,p_BS,p_LUI,p_RD,p_BD,p_LUM,p_GBS,p_TS,p_ES,sumW_Intercept,sumW_TL,sumW_BS,sumW_LUI,sumW_RD,sumW_BD,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES,local_CN,local_vdp_Intercept,local_vdp_TL,local_vdp_BS,local_vdp_LUI,local_vdp_RD,local_vdp_BD,local_vdp_LUM,local_vdp_GBS,local_vdp_TS,local_vdp_ES
1000.0,1175600.57759818,1889880.86554493,0.45740710925068034,-0.0406334178895173,0.507747519154724,-0.050340409904043704,0.758227075551436,0.1386602141785869,0.06432667217741138,-0.07761685817785052,0.29936863105207046,0.04401261106894957,0.07548987186717997,0.31020205477309537,-0.16826343087205992,-0.04568528125653416,-0.15367827388330782,0.1269384442655669,0.07408834616273992,0.08981075953274303,0.08650550604190599,0.09279193077571238,0.08255303736090455,0.1847642343889723,0.10175599555060888,0.09478266917134771,0.09777240479359606,1.0923421582865547,0.8682427872814655,-0.8642267205139615,3.460688743986387,0.4743150692201089,0.9144408768044971,1.6789074779486102,-1.653597215196752,-0.4820003662689062,-1.5717959909826573,0.27696583218383825,0.3870697222634616,0.3892623992119473,0.0007569617357690558,0.6361746371623407,0.3623985708154426,0.0958852969011201,0.10093665765163629,0.6307217517444864,0.1187452135169545,13.847476135984177,13.847476135984177,33.5281144548739,74.62228067402918,14.504956627282182,68.94879899648387,34.051559737727366,65.96547431319695,61.76533339262667,74.62228067402918,5.54445480894787,0.09939902497814163,0.05334764434441225,3.499031948468757e-05,0.0682564048669959,0.002111589360718092,0.046042942068597145,0.9239536879346949,0.5709961602029768,0.4798611672538159,0.5696245329454686
1010.0,1158091.02161388,1930925.25598316,-0.8870203664108487,-0.6100792911567499,-0.4550484031581721,-0.4319719632526766,0.760043226268035,0.33830043587503295,0.536199624666386,0.25027717479424927,0.32226893839711407,-0.02071457605514712,0.08182101598638242,0.2099828218963525,-0.11354566018731233,0.01333542229256373,-0.15117653925232077,0.12078530262519381,0.1797155889927024,0.1009211804373702,0.08522521046569254,0.17574544592606034,0.0820352382857267,0.15804998167357384,0.09866092211471343,0.09424261647968428,0.09725718483326615,2.800841066936807,2.983601075854133,2.4799271442288235,3.781380376019648,-0.11786692933063063,0.9973886551216179,1.3285849177131661,-1.1508676156025823,0.14150097684775576,-1.5543997033380292,0.005981112454340489,0.0034796418951064238,0.014589708518780694,0.000249031064619753,0.9063787181385903,0.3206699266592541,0.18661531247736107,0.25217403513932707,0.8877217707109095,0.12283689928678412,24.07190487840304,24.07190487840304,28.790156956005724,78.30796445151876,24.152635957381854,67.9795868049456,28.99609731789771,67.34810633377825,65.37296477123364,78.30796445151876,3.6600717535642335,0.8284050681542247,0.20218305015797405,0.017065003139156328,0.01985099293461225,0.2992342984795339,0.10060053495862076,0.3581998957920672,0.05728419250590003,0.019071274341050836,0.05482228928480104
1020.0,1154263.50109831,1917602.19677075,0.9175893269821448,0.4083681294364673,0.9083445363370218,0.009244790645122958,0.8169888590106883,0.3324549898336574,0.4493227900321958,0.1887768278562968,0.3174546261364973,0.17482381050802603,0.08001464306642618,0.18023093769279985,-0.11828914915132159,0.0023120377155030703,-0.15057400046376077,0.12503463168494838,0.1769344221198419,0.09161842736283274,0.08513064092623726,0.16948861395171141,0.08206312160460036,0.14555224773007477,0.09965371565748504,0.09484955317918561,0.09725869700442288,2.658903260269116,2.5394877076426585,2.0604678915595396,3.7290289686830933,1.0314782004048642,0.9750377697299375,1.2382559562188031,-1.1870018932147748,0.024375841930802458,-1.5481803180739029,0.008957137701793239,0.012436421521942097,0.041609808814089884,0.0002999526381646977,0.30448105042848517,0.3315880730063311,0.21814298430865992,0.23767308072322646,0.9805950646833916,0.1243265168343436,11.92415655549248,11.92415655549248,22.59066725165121,82.17918363711499,13.070474262333573,71.71873594963431,23.003522143019925,70.69442490444112,66.91347694537849,82.17918363711499,3.8873484429314553,0.8675851091616077,0.7073337908067238,0.0605696211005128,0.13741770063990463,0.0009770883373897924,0.03563335300111557,0.06685270278208907,0.03152965457033364,0.016660146283831445,0.0864072243090008
1030.0,1165039.42430835,1896486.58894308,0.13763867637300387,0.6827237661928183,-0.2336183746981627,0.3712570510711666,0.7856927673639237,-0.11701448334090807,0.03347810416523016,-0.04112733672161354,0.30312923140069215,-0.05358995560119127,0.0760338480996169,0.29112579423225443,-0.1537676529984402,-0.03716931074450553,-0.14956454495703184,0.1333234641061281,0.09084260175479043,0.08476400732930339,0.08595768333649134,0.10913883931571072,0.08246975913200931,0.17130429273968667,0.10305113194122933,0.09561471155781244,0.09731906705244636,-0.8776735897573306,0.368528680580912,-0.48519811671758456,3.5264937308053956,-0.49102552251054504,0.921960351283548,1.6994658427774956,-1.4921490924149654,-0.38874049964613966,-1.5368472950570908,0.38195081151111954,0.7131566076928713,0.6284588434225653,0.0006058881517317125,0.6243441371335638,0.3584794397340467,0.09193489888799926,0.13839832089834486,0.6981869205108238,0.12707758466058178,11.27903429321874,11.27903429321874,36.14997547824268,77.80521759974151,11.42626614994263,72.05319035601835,37.159830833163944,69.02672505247162,64.76614525211295,77.80521759974151,4.682880562946425,0.1413894173300198,0.031232193961945,0.16912662741299425,0.23814327385725972,0.002028046687619268,0.010764348312069008,0.871995974857704,0.5434709946520843,0.5958785868044743,0.25717886094479
1040.0,1155312.29879529,1890060.7219291,-1.2160161597333807,-0.7130460587963745,-0.9690384003976941,-0.24697775933568666,0.7597654098334448,-0.42993840768041297,0.8192682927087107,-0.004800361800173881,0.2986677948691099,0.10445465026719943,0.07371676040045169,0.19667218906218217,-0.15718755521450822,-0.05271670420544558,-0.1485326795424085,0.11499026176342642,0.23151342822539103,0.09331681279655757,0.08579204569930143,0.14643251617447284,0.08238411086033544,0.1386543814095881,0.10250311430798734,0.09555576721536739,0.09783146262054732,-3.7389114616065546,3.538750641760218,-0.051441553309790757,3.4812993726240262,0.7133296141872122,0.8947934210933298,1.4184347228177967,-1.5334905312458367,-0.5516852173519844,-1.518250627801741,0.0002896398441771207,0.0005810937662226879,0.9590629203225886,0.0007061997210687288,0.4770868990458792,0.3727665009670308,0.15876820972841035,0.12790158016631528,0.5822344785253271,0.13169561600159435,14.59252187527184,14.59252187527184,22.12667066127582,68.63547359726691,14.670164019068224,63.349915053999354,22.5910361456248,62.746633562626556,57.55574877500722,68.63547359726691,11.573198810449208,0.9632678468764891,0.9818523786059209,0.13420394408565325,0.001067474855755578,0.05244164417637481,0.0003846468390863862,0.014146492732678697,0.010396158422814708,0.001071783097023902,0.0023706079523882016
1060.0,1166283.2435735,1884759.33773216,-0.6283477399068845,-0.23346713864666557,-0.5888488071749272,-0.03949893273195737,0.7547274960797195,-0.20155945193818356,0.2908287505792915,-0.05784373849681213,0.2955703924861021,0.08754000677770363,0.07292251935762334,0.2535337734847664,-0.1723405410452956,-0.056292228428110165,-0.15415477205214428,0.12384096858214173,0.15202450416631444,0.09099352035239655,0.08613900628778061,0.13368510042421594,0.08247287066063042,0.16954428721457412,0.10137766537929332,0.09443173213782592,0.09811566049816184,-1.6275668241765437,1.9130386392257233,-0.6356907422945821,3.43131880925855,0.6548224633853549,0.8842000863252834,1.495383758721966,-1.6999853015011,-0.5961155975191685,-1.5711535882187972,0.10635360011554629,0.05822970484094379,0.5262410152347394,0.0008352537219812234,0.5138896742939539,0.37843306562996637,0.13755350024450566,0.09183682419241532,0.5522695406722546,0.11889436035663264,9.988927690073767,9.988927690073767,24.364597806122656,76.64669882286587,10.177705287162436,69.0310054886154,26.38692433138172,67.74119637481304,61.4176468255237,76.64669882286587,7.880892682411562,0.9494579951824729,0.9044342816651723,0.000583816742357543,0.008337011973521788,0.056456548355370596,0.09994222212863625,0.21396350786634852,0.12565975614844366,0.1048870051359143,0.11183790097033021
1070.0,1155033.73418703,1901060.63233934,-1.216519195339718,-0.6326894238737943,-1.0312028119330703,-0.1853163834066478,0.8543874882615458,-0.33117938895214505,0.7151019592479906,0.03604132382680158,0.30661811849369275,0.16723090096034138,0.07665139183058432,0.18921466628905187,-0.1368089040240192,-0.028999415253428876,-0.1483468245071098,0.11299887701682525,0.22923797878543917,0.09359834136469179,0.08538915570787214,0.14345837325080016,0.0823202000353475,0.14020215651139892,0.10326819529431631,0.09643253968997481,0.0975235068159158,-2.930820178884019,3.119474194619852,0.38506370199843615,3.590832067044612,1.16571028355369,0.9311370939049098,1.3495845641551745,-1.3247922425109806,-0.3007223012756935,-1.5211391525032776,0.00407897825118409,0.002290290923383845,0.7009014756484742,0.0004860258232062743,0.24614365032029026,0.3537332795348639,0.17980005940024973,0.18786654323261512,0.7641692599832515,0.13096979719898422,15.390320809181661,15.390320809181661,22.008267804846078,76.00880116753852,15.412720573021359,62.79049188214938,22.524704264527752,61.59390363313554,59.53880724819291,76.00880116753852,5.71252976632345,0.7197466620052426,0.9567397595013449,0.41662146125051486,0.04134917658964196,0.3005420840061176,0.004771527062157601,0.07215831501285105,0.005727029121652821,0.0034822616440900447,0.00011520036191180594
1080.0,1179041.79692939,1873875.82873002,-1.5518929445120757,-1.023893656615488,-1.4230910249884796,-0.1288019195235961,0.7550485116906588,-0.5174109809993179,0.8225504636197672,-0.033007559210356384,0.2877666991125737,0.5936554095104016,0.06778220976691159,0.14905533957337522,-0.18716295882572848,-0.07035055988623468,-0.1591303998142901,0.1197542267036198,0.15888949859771256,0.09363340584987946,0.0865100807416368,0.14535477979983774,0.08251048583485913,0.17026427722871365,0.10042590155897817,0.09365529383257183,0.0990165332426554,-4.320607257394433,5.176871164420737,-0.3525190492726147,3.326394989411601,4.084182235547402,0.8214981293719988,0.8754351881642868,-1.86369209457195,-0.7511647981373143,-1.607109384695547,3.320915005233502e-05,9.693092843664101e-07,0.7250942795578492,0.0011815556441852582,8.208885678234508e-05,0.4130624302115,0.38316196248107115,0.06491566414678254,0.45408788435318126,0.1107726526045277,14.850713049023794,14.850713049023794,25.69821825439466,69.48803371866916,14.922326772110488,64.23286988038208,27.102070893380436,62.15167347829954,58.701370724449646,69.48803371866916,11.78894658731032,0.9821993056465534,0.9637514157480399,0.014650901968579811,0.026295759510604963,0.0005190653234851506,0.04180590958197843,0.10825650999364354,0.049092624715688093,0.037068596950248674,0.06421708953848436
1090.0,1176409.33715094,1899923.25429028,0.8886234091907788,0.6682726554371227,0.4282015325722909,0.4604218766184879,0.6625667911761236,0.3623412547686522,0.0530757719780492,-0.07618475280490872,0.30527388906375097,0.047330740994884664,0.0760835161150055,0.3577000031221868,-0.15526927620602848,-0.02947745013712002,-0.1521250787577086,0.12832282561823777,0.07125870098604842,0.09014878792110147,0.0862552953618752,0.09077561620982322,0.08259837403249273,0.19104795217356907,0.1031495828756793,0.09590966318579794,0.09709411593063254,2.823669546107273,0.7448321572468853,-0.845100134586234,3.539190119087829,0.5214036871474611,0.9211260754972682,1.872304827414285,-1.5052826378674384,-0.30734598744253505,-1.5667795859678264,0.005597230485464031,0.4578926414155218,0.3998097484239058,0.0005802227746360012,0.6030882623189256,0.35891292561402643,0.0637045083131671,0.13499315348004884,0.7591359209942216,0.11991383222855563,28.236561551894177,28.236561551894177,38.57875259038297,76.25384697985275,28.595894871151668,66.55705149162785,39.58275892911991,65.09568429489418,61.478538797384665,76.25384697985275,5.652297057231357,0.03828983787800719,0.016610632709637117,0.009572802422050572,0.15942793440256087,0.00681184929458294,0.015629301203659268,0.9143629849575967,0.6026368532163373,0.46995846115799955,0.39867168884727466
1120.0,1177050.91513553,1882047.58707363,-0.847463973747853,-0.32456039890118615,-1.0108673196196003,0.16340334587174732,0.7906396105673905,-0.305546396584404,0.31143658641400923,-0.08748268867342278,0.2936116394154807,0.43102214822906537,0.07196242916589549,0.2296902215503793,-0.17864069499404553,-0.05771355754040598,-0.15666362833447883,0.13494340324915702,0.1099542989677771,0.08941630457531242,0.08648988114650949,0.15070725215983607,0.08251876420072535,0.1757031366271977,0.10080968607332357,0.0939508417713966,0.09842183092894634,-2.2642558971204303,2.8324184623766095,-0.9783751306758487,3.394751334183445,2.8599960655638177,0.8720735200402205,1.3072630686026396,-1.7720588363315788,-0.6142952681662605,-1.5917568984017274,0.025432710543732993,0.005456177912174712,0.3299425236343314,0.000943377134946809,0.00503256950371691,0.38498536042175213,0.19373110985226089,0.07903310254806514,0.5402336348968988,0.11418449627316204,10.628369182815096,10.628369182815096,26.679247737163934,73.35209777653047,11.05842107446834,68.24262511143992,29.6622811266321,65.58302641734447,61.842879720219415,73.35209777653047,5.583194627730508,0.6031439365380646,0.3145008884147998,0.04735538371156878,0.005056290142926879,0.0033085597002250238,0.10025463420293798,0.8226496627662874,0.5000160289178576,0.2723282428173043,0.5270983602315941
