station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_LUI,beta_BS,beta_BD,beta_RD,beta_GBS,beta_TS,beta_ES,beta_LUM,se_Intercept,se_TL,se_LUI,se_BS,se_BD,se_RD,se_GBS,se_TS,se_ES,se_LUM,t_Intercept,t_TL,t_LUI,t_BS,t_BD,t_RD,t_GBS,t_TS,t_ES,t_LUM,p_Intercept,p_TL,p_LUI,p_BS,p_BD,p_RD,p_GBS,p_TS,p_ES,p_LUM,sumW_Intercept,sumW_TL,sumW_LUI,sumW_BS,sumW_BD,sumW_RD,sumW_GBS,sumW_TS,sumW_ES,sumW_LUM
740.0,1160828.02104042,1890198.73280923,-1.0003083309484966,-0.550275558286702,-0.7790243234739107,-0.22128400747458588,0.7045487103922228,-0.4477256693846454,0.03999056713803212,0.39198248637965594,-0.1654444064005383,-0.15623618941558295,0.1382608450255887,-0.08976985965606808,0.1044167053631748,-0.162299835882834,0.19251064391541273,0.14077870234154755,0.0924928059560197,0.10010981395680246,0.10716756802808869,0.10033111723248675,0.216460242940811,0.14096714746956462,0.131856094229935,0.14344516276355535,0.2028853727251056,-3.1803508765012225,0.4323640819919294,3.915525070786736,-1.5437917407734327,-1.5572057176793244,0.6387355162647341,-0.6368140468718058,0.7918989711699598,-1.1314416795661304,0.9488640867976724,0.0018909027155487217,0.666286493984714,0.00015338317388249032,0.1253861983456541,0.12216946520860965,0.5242650911064324,0.5255115915511137,0.4300500164082368,0.2602231393050605,0.34467949389562813,13.179975097403496,18.93844981572248,57.55896595145005,40.63336734272926,66.95167905935898,12.979601668429156,20.06305815719331,69.96268712794227,61.78616597701747,73.85929059010532
750.0,1126838.69876877,1936585.06680443,-0.5575739931109546,-0.07804441089115932,-0.32983213197614963,-0.22774186113480493,0.7608458245121505,0.1805637754636059,0.4687837190508757,0.4431005623955126,0.1482799236136744,-0.1453703611352794,-0.10295783837295577,-0.015796612812038778,0.11024969051708046,-0.09993996067934915,0.2041062954587454,0.14750762391188663,0.19111614735276805,0.10130927519714328,0.1137562612285565,0.09984541765188931,0.2741217540306408,0.18098694865103176,0.13011858977957294,0.13775463278674344,0.20335983087329687,1.2240979189758037,2.452873425632531,4.373741313747027,1.3034880191407991,-1.455954259634755,-0.37559163714327953,-0.0872803974528399,0.8473016092769577,-0.7254925562762394,1.0036706589607345,0.22341718633544624,0.015673408474059534,2.6976779889168596e-05,0.1950117271569523,0.14812991955782948,0.7079124090448867,0.9306004312661302,0.3985869517351096,0.4696236946189085,0.31764457792143747,8.540974567135105,14.271223319761651,41.61584972083676,19.737871987039675,49.5619974699215,7.916197172933983,14.31984924562657,49.995444870964796,43.59158385453143,58.84029100348027
760.0,1167506.03909464,1941002.51448854,0.47452636485806454,0.4799172039927002,0.3517964613136093,0.12272990354445523,0.6857195951998232,0.24302727585949904,0.44896340902401183,0.4409175491560225,0.05717250322486772,-0.14243689002304954,-0.34382952146129386,-0.06780957204865466,0.12236160600178127,-0.1213139222312035,0.20508802625871955,0.14907129666350455,0.18416466448565816,0.10036909598670514,0.1127181455569252,0.09990730180162763,0.23669504577373712,0.1843979633589256,0.13183418358276278,0.1366780039676442,0.2044346769158454,1.6302754540874447,2.4378368688580587,4.392961247896726,0.5072164995474869,-1.4256904896287474,-1.452626607951775,-0.3677349294615862,0.9281477889607075,-0.8875892148668059,1.0031958831678203,0.10577926677467273,0.016306257327160834,2.5013038436576993e-05,0.6129742026035598,0.15666645205555393,0.14905056185058482,0.7137468276086574,0.3552748939658774,0.37661434172361496,0.317872560846879,22.245394871190296,24.350061393192544,55.37336365780285,33.189609813200484,60.4790342789727,21.36267881091708,24.430077248645784,63.32957193842512,59.779576796379665,72.09325889496291
780.0,1152737.52861689,1889991.51591303,-1.223623320467151,-0.7873663208103346,-0.8294162987911293,-0.3942070216760216,0.7185052481880634,-0.4486742123430015,0.2462008516682877,0.38446672250229874,-0.13527428033845432,-0.15878719036213182,0.20124294315502503,-0.03469668131244845,0.1005554860625726,-0.1549927333375112,0.1939148729163506,0.13248057613594233,0.16131878739774544,0.09983645345946324,0.10674368205494263,0.10033217348238227,0.20318762306542099,0.16582136573294487,0.1318504187349245,0.14327275126269007,0.20282131009411258,-3.3867169469628764,1.526175937965974,3.8509653456230235,-1.2672813766048143,-1.5826148766727743,0.9904291418883825,-0.20924131916949362,0.7626482117188566,-1.0818018916474397,0.9560872712358024,0.0009688316738050128,0.12971169299882904,0.00019394829641069996,0.20761495071260977,0.11625564877142035,0.3240437598236525,0.834630061153408,0.4472347309964989,0.28160381342129415,0.3410336915032599,15.969727928396846,17.675158044918458,48.187748051653635,32.524972055383095,60.447117502262195,15.459074639588867,17.70101928941913,61.27654727273247,55.27433977164485,66.14294086393635
790.0,1175951.62118251,1899904.51841827,0.0976782294675997,-0.0004653556838884326,0.14450986893343734,-0.04683163946583764,0.6499916950420699,0.2524285717673111,-0.018887541241748185,0.40317880546995744,-0.18146978884880544,-0.15221186802217518,0.10531943703887214,-0.11785234205510559,0.12168785707272524,-0.1823871458862928,0.19706680266014734,0.13585203883218025,0.0817505161182735,0.10140180742943447,0.11614929438231805,0.10032142984954215,0.09756524088050902,0.1409360930869297,0.1343984345002508,0.14511529316708235,0.20342767834168216,1.858113974124005,-0.23103880120368192,3.97605146979781,-1.5623839112743798,-1.5172418121477746,1.0794770359646824,-0.8362112179625555,0.9054261496810676,-1.2568430377375628,0.9687315131677857,0.06571030386751128,0.8176952069698279,0.0001228048875639558,0.12094533039663392,0.1319498506516974,0.2826339536274166,0.404770246252379,0.367132712865497,0.21135728524196523,0.3347121411737729,29.500713655714776,35.44977585305412,58.35943481702883,48.67658924029092,66.68138118287976,28.91558634889366,35.62932851990178,68.92755591824911,61.92938629042416,76.68855958264248
800.0,1173161.40626791,1910707.27350033,0.45951464608349374,-0.004771359703707179,0.6174958155279429,-0.15798116944444912,0.6527867520241153,0.3411653617242689,0.003178437549095685,0.41973593851693275,-0.13481882045362764,-0.15059281247517714,0.13745467481753268,-0.10743780349964561,0.12794895048157312,-0.1696596160060234,0.20233812852628805,0.13716690568873818,0.07937960209366428,0.10023838165585054,0.1151542243673994,0.10021521860442878,0.09810380583703213,0.14084592288729236,0.13433436416693095,0.14201620475390925,0.20397398460986285,2.487227950584874,0.04004098616348914,4.187377445478084,-1.1707674746129015,-1.5026940475937058,1.4011146014647928,-0.7628037879777282,0.9524662678462305,-1.1946496971948775,0.9919800748771778,0.014308962937102099,0.968129881760813,5.55251970718645e-05,0.24411255772205437,0.1356590626930851,0.16387262453391022,0.44714229600648125,0.3428582050283363,0.23468201584872286,0.3232898773744748,16.872777501334088,28.21909776683011,65.81245911738341,43.289495796626646,71.5287983409541,16.162377099679034,28.713277841470866,72.10038782837786,66.43566339249931,81.9669378850131
810.0,1163828.91499522,1897961.33198446,-0.6518424703033974,-0.40030682380720517,-0.2867773241046784,-0.365065146198719,0.7034097256811227,-0.3545580960966803,-0.010450180245396404,0.4001237449400719,-0.16094716303171722,-0.15471554963679146,0.0499078976521388,-0.10323603878579989,0.11241553043395498,-0.17407946320615622,0.19766836062411083,0.14956775950095164,0.08329062105044806,0.10017762874414701,0.10964286523162291,0.10029218606682365,0.13962453026188856,0.13444190846059562,0.13321235559137176,0.14503215080173945,0.20319724251363752,-2.3705516301086558,-0.12546647045730233,3.994142703876384,-1.4679218998127501,-1.542648093578358,0.3574436208202699,-0.7678858472621128,0.8438821604415514,-1.2002818840087723,0.9727905663426726,0.019425242030226716,0.9003733427481206,0.00011485856919814176,0.14485524608663367,0.12566351558013295,0.7214148703665364,0.4441288701010019,0.4004872462098471,0.23249659561459673,0.3326991223593989,11.68433800369917,24.779673092402234,61.533589463720816,47.20387892136859,70.72798321958787,10.80346676878239,25.28878084377202,73.78518567644814,62.53724332761072,76.26712646747683
830.0,1165182.26334848,1891511.43450645,-0.18881485270419535,-0.6190493226274394,0.2263487133140614,-0.41516356601825677,0.6962780104596904,-0.37014575528103094,-0.003983566971711072,0.3948057039227451,-0.17884735351769798,-0.15477377065014536,-0.006660366280466279,-0.11211723698661911,0.1073676354598779,-0.1667148287594042,0.19265136258910648,0.14625037608758776,0.08415892745339064,0.10047103470270764,0.10979422053084978,0.10032864793147032,0.17620847420103458,0.13449530695944442,0.13236361182431713,0.14364042326349596,0.20296581105588393,-2.5309046389005845,-0.04733386097294637,3.929547506810988,-1.628932312219893,-1.542667760816072,-0.037798217768275605,-0.8336144919943328,0.8111567369616979,-1.160640055018358,0.949181350232737,0.01272802252442907,0.9623292446219345,0.00014571162489476655,0.106063752041065,0.12565874248291434,0.969914102208135,0.4062263683687679,0.41895130709015715,0.24819199736853395,0.34451883253439397,11.077128935556182,22.20543228009524,59.99244745497498,44.15432084020178,69.82313011333376,10.931300011256592,23.115068334035296,71.30472343678188,64.39393847209557,76.75204980568182
850.0,1176281.20684682,1898524.19201698,0.2545694250680142,-0.08768769101338253,0.4206718753864088,-0.1661024503183946,0.6504631332774865,0.2506421947007187,-0.018872964931626934,0.4036886957727527,-0.18449049846489152,-0.15198400801033132,0.10141347203021739,-0.11970243037394568,0.11995100573749745,-0.18210298873385236,0.19625478911532804,0.13664718064912357,0.08190201137415277,0.10131385546448234,0.11587886938463805,0.10032463291058932,0.09769941369510196,0.14046440532467194,0.1340689903207725,0.14516815494779717,0.20335900976459986,1.8342288037709782,-0.2304334730609925,3.9845359148756714,-1.5920978470415525,-1.5149221442532617,1.0380151547961811,-0.8521904898060355,0.8946961221271492,-1.2544279342761988,0.9650656213486908,0.06920531392511174,0.8181643748224147,0.00011901495622996351,0.11410782621134159,0.13253589848359923,0.30144062006383904,0.39587962209495486,0.3728183044403528,0.21223013954192732,0.336536997857671,28.188963482761928,35.202726517648316,59.59296420124477,48.95305381618909,67.4513195793868,27.2460442577095,35.57114349474685,69.62382912292708,60.99693831002242,74.715470723675
870.0,1156039.37233196,1930887.06155112,-0.9674901781235218,-0.7489112498136634,-0.1601127583098939,-0.8073774198136279,0.7254268104834827,0.24040884267006246,0.4655873287456855,0.43858822240227,0.11162536720244891,-0.1451534139311683,-0.3184476834062242,-0.02259135856120144,0.11824732534957276,-0.12063804214631332,0.2043354891840559,0.15109152674562315,0.19243112984896435,0.10006732491917623,0.11528701716797556,0.09990839780904806,0.23071285282947943,0.1750071956014191,0.13153530025986038,0.1369917448351977,0.2039821615022924,1.5911470871216586,2.4195010916950723,4.382931418987317,0.9682388350789617,-1.4528649954791155,-1.3802771692203462,-0.12908816968105424,0.8989778798236218,-0.8806227141018022,1.0017321499054688,0.11432172866616562,0.017108671909619608,2.6019960804393202e-05,0.3349570166081193,0.14898446174413513,0.1701785381447186,0.8975133819470831,0.3705429066223198,0.38035874017026006,0.3185761155308981,23.61144644480461,26.322238170733808,62.15679512676302,33.75167048679434,67.63578512085647,22.80289742523228,26.847432555654702,69.5520962516502,64.64244468648188,77.84713154216999
