station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_BS,beta_RD,beta_LUI,beta_LUM,beta_GBS,beta_TS,beta_ES,beta_BD,se_Intercept,se_TL,se_BS,se_RD,se_LUI,se_LUM,se_GBS,se_TS,se_ES,se_BD,t_Intercept,t_TL,t_BS,t_RD,t_LUI,t_LUM,t_GBS,t_TS,t_ES,t_BD,p_Intercept,p_TL,p_BS,p_RD,p_LUI,p_LUM,p_GBS,p_TS,p_ES,p_BD,sumW_Intercept,sumW_TL,sumW_BS,sumW_RD,sumW_LUI,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES,sumW_BD
730.0,1174726.83884537,1900620.27445093,1.08946725652656,0.5160231728689404,0.637257067100391,0.452210189426169,0.8403459025750342,0.23467188435997682,0.07686914060626572,0.15005940449969288,-0.028989844772957775,0.47661875486965194,-0.13327448527187818,-0.11920051915544239,0.04143838162021731,0.05336569508487724,-0.12212693355372177,0.11534229913119123,0.06429918893660598,0.07808199782188623,0.0895217486125343,0.12413064100917118,0.08135806531643879,0.10096855373849191,0.08626819619437531,0.06861595700798484,0.13336694078219022,2.0345691574351155,1.195491605377056,1.9218181999133164,-0.323830189001679,3.839654343156399,-1.6381225973542102,-1.1805707296171755,0.4803436660116361,0.77774467357013,-0.9157211887552763,0.04419435349837028,0.23435440209083844,0.057103062564313085,0.7466547929151792,0.00020203372838838445,0.10412943144545089,0.24020935117416192,0.6318955090750467,0.4383166573138628,0.3617293617235886,30.588654592840854,27.902449193011417,78.59195706632624,39.96459567897003,78.59195706632624,78.59195706632624,45.22406272305297,59.153348082963724,78.59195706632624,27.902449193011417
740.0,1160828.02104042,1890198.73280923,-1.05769188780784,-0.7886837875135139,-0.6895668371298534,-0.3681250506779866,0.8444021007257297,-0.06440029052989897,0.4918024017958303,0.1409610579199282,-0.05224993012069075,0.4730519986657638,-0.13247534420112217,-0.04435398290808766,0.007245739124793814,0.06959365281503246,0.334510873891053,0.10161889598228516,0.17780598332229156,0.07792950100422989,0.08124511771493383,0.12408881531895401,0.08133845206151136,0.09351606380026319,0.08359646808299002,0.06242649967586857,0.19175855854968962,-0.6337432611069267,2.7659496750702033,1.8088279291340137,-0.6431147075695182,3.8122049714943747,-1.628692713514379,-0.47429266273248377,0.08667518246824302,1.1148094667549397,1.7444377785326988,0.5275068631014801,0.006614445747381219,0.07309044402906721,0.5214299576947339,0.00022301006786510383,0.10611456498688673,0.6361905644835955,0.9310804394499623,0.2672564196603135,0.08375451215480306,13.234234527046228,12.698016810164123,73.85929059010532,24.937555308536293,73.85929059010532,73.85929059010532,34.72524024245688,57.55896595145005,73.85929059010532,12.698016810164123
750.0,1126838.69876877,1936585.06680443,-0.204449666089959,-0.01568856405849653,-0.3427181668809226,0.13826850079096362,0.8704365244417461,0.42548825454326017,0.5242044326153138,0.1790428472951978,-0.06224460094744192,0.4815877953376694,-0.09770977585257026,0.16957441974074924,0.12067690279802251,0.07064567880575212,-0.33014986212720004,0.08771682371137464,0.2117066755545832,0.07512360370133622,0.1153456554586221,0.12215895063884868,0.0826542884587312,0.09251437528198893,0.08269140127066331,0.06486219904660105,0.2695989475487858,4.850702938620943,2.4760883483816314,2.3833101511877173,-0.5396354175625704,3.942304618852186,-1.1821501058757065,1.8329521139161027,1.4593645886230184,1.0891656441527038,-1.22459625725155,3.89506659550106e-06,0.014739290520392682,0.018796111754106764,0.5904918433023032,0.000139051452558405,0.23958470662811687,0.06939640111653204,0.1471909761142857,0.2783579930117001,0.22322998803070346,8.691357096915699,7.790463347432294,58.84029100348027,16.866931100534984,58.84029100348027,58.84029100348027,18.866981876267182,41.61584972083676,58.84029100348027,7.790463347432294
760.0,1167506.03909464,1941002.51448854,0.152133416918738,0.5033847968422083,-0.1694952481519464,0.3216286650706844,0.8280494087403338,0.44702279467363626,0.5937362436535525,0.17768547091837952,-0.10820178540198845,0.48255088165535587,-0.10310359632974828,0.20996985174322408,0.12072213682540654,0.05800987725079511,-0.26017007284592925,0.0903094807633793,0.17751125608575877,0.07566162761977595,0.18517065472107203,0.12264514717574472,0.08255922699287349,0.10281094410732904,0.08203490589326908,0.07054959042790426,0.23586423036710444,4.949898846665776,3.344780814162614,2.348422529466406,-0.5843354907664823,3.93452894604858,-1.2488440127794338,2.0422908627706695,1.471594749952797,0.8222567544183876,-1.103050142198309,2.565730070668598e-06,0.0011124824807002432,0.02056073527520475,0.5601391711596075,0.00014307550905246324,0.21425834726070295,0.04340977961244159,0.14386160307041343,0.4126323976696674,0.27230832762808416,22.31672511394256,20.924450684080323,72.09325889496291,25.039728572352196,72.09325889496291,72.09325889496291,28.499692332757903,55.37336365780285,72.09325889496291,20.924450684080323
780.0,1152737.52861689,1889991.51591303,-1.2754438480409098,-0.6938352946010166,-0.968998740292576,-0.3064451077483338,0.8486413068995203,-0.0863213806690456,0.6963377229024129,0.1420344996626888,-0.08617381280657438,0.47197050275832836,-0.12400398810895054,0.01970821040561511,0.0068057130107483784,0.07634213193360839,0.5021705229810598,0.09147498863538613,0.2191550714729848,0.077624092082271,0.08254034198656933,0.12393106309525112,0.08153200458576268,0.09461805063470557,0.0849638381790181,0.06149870859871702,0.20738904735534347,-0.9436610155057521,3.1773744418606817,1.8297734099376197,-1.0440205447730793,3.808330946016178,-1.5209240682720122,0.20829228961504526,0.08010128963817285,1.24136154519513,2.421393653063237,0.3473212219994912,0.001908817179910727,0.0698740779349635,0.29866553698073206,0.00022613227011083952,0.1310237343191229,0.8353692086921907,0.9362959250779819,0.21699830133120956,0.017024254946930474,15.990791547421313,15.368178454167486,66.14294086393635,21.55415889116973,66.14294086393635,66.14294086393635,28.86072105750437,48.187748051653635,66.14294086393635,15.368178454167486
790.0,1175951.62118251,1899904.51841827,0.791925095892336,-0.29945276568389045,1.1059797663189703,-0.3140546704266344,0.8385941809546346,0.23063467589474182,0.0771944041002213,0.1486452958157993,-0.02524862031592253,0.47649470222863105,-0.13599700625198233,-0.12479746228683831,0.03723709616765538,0.05217720104399226,-0.12302913215691196,0.1165432785523266,0.06425849663008111,0.07836019645899904,0.09050273210536941,0.12421038223757433,0.0814118319878306,0.1012155223025894,0.08614141068388848,0.06921281139075953,0.13330298159627482,1.9789616248970505,1.2013104592939472,1.896948993658739,-0.278981857547973,3.83619061180611,-1.6704820777440692,-1.232987386200996,0.4322786900286978,0.7538662278781286,-0.9229285848198164,0.050210334591674684,0.23209906929930277,0.06034299140503041,0.7807598221678758,0.0002045731874541237,0.09754355652273665,0.2200949608743742,0.666348367966255,0.45247033090282796,0.35797676843090886,29.50268623959471,28.362215610932427,76.68855958264248,38.58758324449458,76.68855958264248,76.68855958264248,44.842297463670526,58.35943481702883,76.68855958264248,28.362215610932427
800.0,1173161.40626791,1910707.27350033,0.35981137359491,0.21669208566819598,0.3293138081752232,0.03049756541968679,0.8295249810168303,0.3635441405322685,0.13928559452823128,0.1618182546078452,-0.058013580607145995,0.4784705280413158,-0.11844509315826307,-0.06474924072384383,0.07713667193731213,0.0534656090389081,-0.0998106790566238,0.1136892457551046,0.06450929717638278,0.07694728477107451,0.10294472289210307,0.12365409963835511,0.08157016580265122,0.09879647129177344,0.08392456230068428,0.06985013013947446,0.13262931397137934,3.1977003463931024,2.159155356279785,2.1029754992560155,-0.5635410827998473,3.869427131333893,-1.4520639009711724,-0.6553800948276921,0.9191191448928557,0.7654332058100639,-0.7525536856668231,0.0017895561829322597,0.03291537115896408,0.03764876141638211,0.5741637238869447,0.00018140919343080569,0.14920667921880185,0.5135319755560255,0.3599570843515981,0.4455817043549065,0.45325583847544704,16.89596972152267,15.715035330329119,81.9669378850131,33.3346584703459,81.9669378850131,81.9669378850131,39.12654624208919,65.81245911738341,81.9669378850131,15.715035330329119
810.0,1163828.91499522,1897961.33198446,-0.18253664792967003,0.11198586346026693,-0.027635216898344084,-0.15490143103132595,0.868083267485887,0.06665516533328647,0.19431871915698817,0.14919311393890014,-0.056303426965439565,0.4753568538346648,-0.12405457155521564,-0.07485495377292144,0.03969322118013112,0.06198686830009098,0.02956288642885213,0.11856813611868776,0.12179723880208768,0.07793140798034845,0.08095033803979693,0.12408036128637531,0.0814461348482862,0.09616993131462911,0.0853925010018451,0.06609123793480946,0.14850366650604885,0.5621676068734357,1.5954279511438105,1.91441573821586,-0.6955304737301973,3.8310402138300472,-1.5231486648973376,-0.7783613105433788,0.4648326341826369,0.9378984300647096,0.19907176115175565,0.5750959491147345,0.11336113365793345,0.05805176025949155,0.4881260536864307,0.00020840546646737966,0.1304667100987202,0.4379546006374031,0.642930231613374,0.35026221848834005,0.8425581499489672,12.089038049384698,10.364248726047688,76.26712646747683,35.97351331739439,76.26712646747683,76.26712646747683,42.37059769796417,61.533589463720816,76.26712646747683,10.364248726047688
830.0,1165182.26334848,1891511.43450645,-0.540615396454339,-0.155881981413298,-0.4151641189915259,-0.1254512774628131,0.844705436397466,0.028401333463256566,0.22278460789546845,0.1417376788902948,-0.03734534730368235,0.4739199965696545,-0.13546269057741595,-0.08377880354574063,0.010955835089856017,0.06530280374036064,0.018419923609941012,0.10630673167789409,0.11018473142891756,0.07806933561166371,0.08246440542108782,0.12414668684385737,0.08130619411156155,0.09485152653089078,0.08382708632250833,0.06340240557505633,0.14810500160926485,0.26716401694402264,2.021919053632139,1.8155358666728414,-0.4528662653054476,3.817419607546325,-1.6660808202576225,-0.8832625747826627,0.1306956446953862,1.0299735971855926,0.12437070598423826,0.7898213995654122,0.04550588368946358,0.072047279805687,0.6514982839749373,0.00021887210223164606,0.09841898716616435,0.3789371326145341,0.8962444309113349,0.3051837729300647,0.9012388992201743,13.16930021766362,10.61898448319577,76.75204980568182,31.4954139500164,76.75204980568182,76.75204980568182,40.028916830623466,59.99244745497498,76.75204980568182,10.61898448319577
850.0,1176281.20684682,1898524.19201698,0.436332849226039,-0.7637384160684206,0.9854982397916316,-0.5491653905655927,0.8384523083184892,0.22118118438942164,0.07729374383351191,0.14652910503496408,-0.023662228688873205,0.4762373985113939,-0.13901215216442045,-0.12974505530625413,0.03154734384630521,0.051652191543517044,-0.12468882698497463,0.11678445447962775,0.06432722040702674,0.07870029668588747,0.08940869227209224,0.1243056286336263,0.08149306503774498,0.10101529789395876,0.08533652136938884,0.06956257577290721,0.1334067761120101,1.8939265964375864,1.2015713308369342,1.8618621683193688,-0.2646524413628971,3.8311812887816847,-1.7058157292284255,-1.2844099657306813,0.3696816244682502,0.742528449667245,-0.9346513769306908,0.060747068717600404,0.23199832477217586,0.06517545924013343,0.7917509648502454,0.00020829959238239247,0.09074186153939594,0.20157993070371327,0.7122996079777584,0.45928123060601056,0.3519264149820386,28.638451773938872,27.05704578628717,74.715470723675,38.78663995071806,74.715470723675,74.715470723675,44.90129024199496,59.59296420124477,74.715470723675,27.05704578628717
