station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_BS,beta_RD,beta_LUI,beta_LUM,beta_GBS,beta_TS,beta_ES,se_Intercept,se_TL,se_BS,se_RD,se_LUI,se_LUM,se_GBS,se_TS,se_ES,t_Intercept,t_TL,t_BS,t_RD,t_LUI,t_LUM,t_GBS,t_TS,t_ES,p_Intercept,p_TL,p_BS,p_RD,p_LUI,p_LUM,p_GBS,p_TS,p_ES,sumW_Intercept,sumW_TL,sumW_BS,sumW_RD,sumW_LUI,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES
460.0,1174675.57817332,1902905.85602106,0.90193833723025,-0.319029657201613,1.1624970500286647,-0.2605587127984147,0.7464309496287118,0.23204546573766438,0.054881205627962684,0.1063802150792849,0.08927322832315875,0.32403300500883636,-0.004699065117303907,-0.19702464372257397,0.097670055054052,-0.052247397346858265,0.12556159653688062,0.06252451272464077,0.09606770048248654,0.08846766651217074,0.10824061497433138,0.12242342383072771,0.10890383020995767,0.08585691422899633,0.08605897327744197,1.8480608094968491,0.877755031369227,1.1073463249875368,1.0091057201206635,2.993636031037692,-0.038383709344718256,-1.8091617470453205,1.1375910249178982,-0.6071115580059274,0.06716295407838505,0.3819067901039537,0.2704550269267396,0.3150424496055146,0.0033753163425886516,0.9694483029434618,0.07303823696132822,0.2576559107326671,0.544973709523534,28.57527357493235,27.493215244577335,37.81337347193825,28.86302801652471,28.80094063223122,78.7231676910506,46.17952545204698,70.53902704266837,78.7231676910506
470.0,1167774.55595889,1898083.15752057,-0.6228906401732327,-0.06500960457144767,-0.3351283386222471,-0.2877623015509856,0.8314559020147485,0.10962356905359774,0.05416295491466522,0.10577574916038003,0.06659832235572989,0.32966464264225787,-0.007107087159302596,-0.1700457821811599,0.088081261905858,-0.05268661220886434,0.1262744516784749,0.06471436175139597,0.09335758140742838,0.08501671349509637,0.10781394830125701,0.12215863652062982,0.10797283730509186,0.08550641300330288,0.08628186258602427,0.8681373595089978,0.836954169813733,1.1330172393686664,0.7833556440589905,3.057717928306446,-0.058179162454079704,-1.5748940791531905,1.030112933195498,-0.6106336909027088,0.3871271855981401,0.4043542161904553,0.2595636720368375,0.4350286199625384,0.0027743188907105856,0.9537068911965418,0.11802801478837927,0.3051186505072861,0.5426470649715105,15.565356984427105,15.015989805028818,37.08564330286799,16.306961064524312,15.834829181307937,79.31277734608013,45.902583325127,74.21980021354622,79.31277734608013
480.0,1144532.74806525,1901787.32648402,-1.3499531858981806,-1.1334932194773648,-1.3870129976284689,0.03705981173028827,0.8567977630099374,-0.013746303133832776,0.6479512089841766,0.15897297016630113,0.11658836661398442,0.8513582433286844,0.0016942975063103125,0.04313294036831897,0.07622653845561699,-0.04842703579599532,0.08726533834302869,0.21186807661734355,0.11188211574715651,0.12364465552690046,0.16291550634001692,0.1222260256698603,0.11989622149868918,0.08671017389948532,0.08640252577559622,-0.15752306006994263,3.0582767320555133,1.4208970674595187,0.9429309024086298,5.225765566795316,0.013862002769252353,0.3597522910160312,0.8790956704109371,-0.5604817146407216,0.8751088823463082,0.0027695435841187136,0.1580525388184975,0.3476929599317241,7.834270381955967e-07,0.9889640961814776,0.7196921801607765,0.38118259142067257,0.57624121210811,14.914376389713778,14.746527815555655,17.30182104759984,15.702236822955028,15.57064583231321,67.13739539905716,19.404394137945545,54.244350259133604,67.13739539905716
490.0,1170964.65874586,1903685.42030979,-0.08942454410864968,-0.09166170463356965,0.2532591621744344,-0.3426837062830841,0.770517206913059,0.24158780720953674,0.057511722325883585,0.10787511260511815,0.08881061641912807,0.33108238349404057,-0.0026027007655283693,-0.18166109763312213,0.09640673398553755,-0.051013603565306154,0.1231667939121049,0.06250727966183446,0.09570267862562432,0.08709038838729831,0.1078813072549209,0.12229024250320901,0.10779642300737836,0.08563766072668512,0.0861046669515836,1.9614686681049782,0.9200803912283988,1.1271901074693083,1.0197522144944373,3.0689504226316147,-0.021282979837578393,-1.6852238002432411,1.1257516046967024,-0.5924603784135296,0.05224114240038355,0.3594567296048783,0.2620085386570926,0.30998649454141175,0.0026797782949396385,0.9830568046648156,0.09465719207603271,0.2626145584210871,0.554705495340392,24.898714778515636,24.12698679650703,36.120629633197176,25.571884237023543,25.205232646160145,79.89141545622802,46.634656658615725,74.56306933656764,79.89141545622802
510.0,1179221.19584155,1868763.71813326,-1.4056833596492009,-0.8519199549691853,-1.5140041776282298,0.10832081797902893,0.7111696654042842,-0.30737400349528665,0.7050871396069903,0.08041273851514867,0.49469483500132033,0.7932300854217038,-0.04341729876651789,-0.21519598435470436,0.054381486370540286,-0.0682581166819823,0.10963800958561307,0.15124383653558646,0.10746026313430491,0.11254040868815311,0.17635961483826196,0.12226297990028359,0.08800187540765168,0.08359198673395,0.08742834411341519,-2.8035350573859827,4.66192312862342,0.7483020808784734,4.395708534985939,4.497798921534099,-0.355114023901009,-2.4453567990210496,0.6505586060972735,-0.7807321226790641,0.005934591858374728,8.501657186432014e-06,0.4558056122655907,2.474384852513905e-05,1.6502166800925986e-05,0.7231546282157898,0.015986974487710026,0.516629107005977,0.4365642089424727,16.285280151350403,16.268890260507376,21.71252260337461,16.754807192479376,16.38980520574347,66.97574674539318,36.53369344655321,62.24198919542693,66.97574674539318
530.0,1169332.77215234,1918811.40944387,0.6349132673373313,0.523553615976807,0.6169653287248219,0.01794793861250943,0.7282683179203788,0.6353546467670768,0.4147620025734697,0.16772848328792553,-0.02232407291951029,0.5909131087426847,0.006518492711631653,-0.09056730646700974,0.11049823185580629,-0.04769038416352973,0.11642062605842676,0.16097429732954335,0.09469243049717162,0.12203301410224592,0.1804912060433018,0.12290857988991713,0.10122689134565561,0.08507366641340791,0.08538352637685816,5.457406202645038,2.5765728408453756,1.77129768881511,-0.1829347007753653,3.273916340283738,0.053035294342103134,-0.8946961154596065,1.2988535291149903,-0.5585431544843695,2.8152245065600467e-07,0.011244211060164279,0.0791602073618666,0.8551713756964427,0.00140143220807224,0.9577958055495814,0.3728183079904104,0.19659248168236487,0.5775594639420776,15.462821699919118,15.130767591438804,20.67946909075959,16.292988211102223,15.52578255201457,83.48126532776618,35.86661970964875,74.36118471111445,83.48126532776618
540.0,1168029.49407113,1930295.53438257,1.2652233980612717,1.2035530591494845,0.9044745896493577,0.36074880841191403,0.7574179043588768,0.6297541422102106,0.4829609397094646,0.25540705455652746,-0.025910714211090438,0.7762404375448653,0.010078730534163345,-0.014876627726406745,0.11492439730583043,-0.046098783594521534,0.11544355449279385,0.16972606442182078,0.10560743617536548,0.146510121923599,0.24213372011641435,0.1234028616713351,0.09518459832054899,0.08453713705686584,0.08532555102476568,5.455082745650566,2.8455319538262556,2.4184571068690044,-0.17685272437765195,3.2058336904569105,0.08167339393641067,-0.1562923833150756,1.3594545699900376,-0.5402693922379874,2.844610798524755e-07,0.005250838209301773,0.017155397490661806,0.8599351662520228,0.0017438076710884244,0.9350484145799512,0.8760765981691485,0.17666231607532246,0.5900560413365094,22.498504384399475,22.022912790380175,26.631177194720042,22.97480951222433,22.5036805268181,78.63156595479,36.525139758123885,69.98642752560589,78.63156595479
550.0,1148588.58858103,1926020.53969059,0.23803119609787754,0.34092843096943626,0.14826629934151353,0.08976489675636401,0.8142170500174998,0.6226680184920957,0.4574829570028914,0.25830126580063817,0.11951470384332562,0.6781083129559409,0.010089945312129178,0.058942890195814876,0.10442650277316148,-0.04561926469245599,0.1211733192605428,0.18011244245380092,0.09710676443827645,0.17125930851398302,0.2429648218064417,0.12319493034206147,0.09356336133033119,0.08448982556392275,0.08547812106044789,5.138656119118565,2.539985304570151,2.659971911275255,0.6978581478598429,2.7909732277875063,0.0819022770183283,0.6299783308095718,1.2359654204062143,-0.5336952207945147,1.143909680225728e-06,0.012419701453231485,0.008930441485403237,0.4866745246367339,0.006154369786479048,0.9348668025945697,0.5299584918284279,0.21899006115726471,0.594582479546774,14.071895640746897,14.003477539693709,24.827553294710317,16.26353880025896,15.56588431515255,76.80477400477204,27.838819658544864,68.17569263488029,76.80477400477204
560.0,1176444.43423897,1898979.0284974,0.9057147936213978,0.013731245137229342,0.8833090627998309,0.022405730821566938,0.7613362686743532,0.18855681583756356,0.054715024221664105,0.10276051536513016,0.08463836417270419,0.3167032439672045,-0.00933548189232987,-0.2079169264637856,0.0937926544880311,-0.054037726391611265,0.12802389625704969,0.06262045095010672,0.09644862184479959,0.08892785222591332,0.10822907711387775,0.12252322699308321,0.10953378220071579,0.08555745571179268,0.08631989406403251,1.4728251627256705,0.873756470793522,1.0654430659516043,0.9517644028744553,2.926230661968705,-0.07619356852931146,-1.898199096994451,1.0962534323598794,-0.6260170610441879,0.14352991709335675,0.3840718424959185,0.28890731680559734,0.3432125834019726,0.004135342960078086,0.9393974953128312,0.06017652081658636,0.2752582634632718,0.5325442894625105,27.814097477384763,27.61692190275289,37.35657308239938,28.499374845735797,28.169026294676865,75.11192242571157,45.418457478961344,69.3852812022088,75.11192242571157
570.0,1157455.12068528,1914787.23945613,0.5423728388905101,0.36258532180259456,0.5310690176043313,0.011303821286178795,0.8274680463000715,0.6024654427234651,0.38769254156123506,0.18568851249764687,0.15044730625756098,0.5142220673230338,0.0062742356066101046,-0.013418995251964043,0.10140692685863115,-0.04736490547810426,0.11882193837329134,0.1667984456181065,0.08782369923684614,0.11900998090501423,0.23253594170184969,0.12266389132526576,0.10322628490363288,0.08510674886328097,0.08552631705749159,5.070321617130651,2.3243174726512548,2.1143326244647853,1.2641570489590945,2.2113659658787426,0.051149817104471446,-0.12999591397182778,1.1915262680464445,-0.553805040456321,1.5355420373304291e-06,0.021863975953522515,0.036647138168584004,0.20872993731125553,0.02898809535560368,0.9592948786418023,0.8967967699587496,0.23590031389557162,0.5807874970593132,10.87916142021922,10.587413467139996,19.74710825718422,11.620013399185527,10.941836924728994,83.93327639236743,25.757924391304375,74.85425483267689,83.93327639236743
