station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_RD,beta_LUM,beta_GBS,beta_TS,beta_ES,se_Intercept,se_TL,se_RD,se_LUM,se_GBS,se_TS,se_ES,t_Intercept,t_TL,t_RD,t_LUM,t_GBS,t_TS,t_ES,p_Intercept,p_TL,p_RD,p_LUM,p_GBS,p_TS,p_ES,sumW_Intercept,sumW_TL,sumW_RD,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES
70.0,1175981.49715054,1898986.07233741,0.7725123001457409,0.4725608453188369,0.7104531585890008,0.06205914155674008,0.6278304317043939,0.03660362127570588,0.10630599463597806,0.17898330320580452,-0.4606355784795374,-0.11606051701199496,0.6553195974767716,0.30987797501192293,0.1575107767703082,0.06372244883137589,0.11109683918406409,0.23746039912028644,0.1225450719017669,0.17831882012237893,0.15200985277419726,0.23238804370245414,1.6682659970787994,1.6110566648009386,-1.9398416754374306,-0.947084327512003,3.674988411357985,2.0385387483548882,0.8166496964131906,0.0979835540187521,0.10990874178273621,0.05484768199029979,0.3455816568044894,0.00036279212296326914,0.04378951656002187,28.391731586934373,28.619085076467165,28.1386049066108,35.62922158045414,34.26358305853511,31.219573933639598,67.2544620673744
80.0,1168782.69906383,1926475.82647501,0.390457527873286,0.8109553708338744,0.3186090266675029,0.07184850120578312,0.5051701122788371,0.5362601650183149,0.57454080849037,-0.13768170502026592,-0.2485868165028619,0.06155606620985469,0.5036276307266684,0.27756773900022136,0.14341373634504023,0.183520461258375,0.17603740282400956,0.2147749998292834,0.1794420368402068,0.2017995681161346,0.1482378256474126,3.7392524501845648,3.1306634941456735,-0.7821162026453599,-1.1574290150178292,0.34304150406334494,2.495682401246931,1.8724488017007426,0.00028929008459790414,0.0022114598976450436,0.43575369087541427,0.24949547424053456,0.7321935173022573,0.01398989504542721,0.06368442388207488,20.523151334338046,20.73825773397136,19.901443405440453,24.659516392822297,24.50098532703445,21.972728348844242,69.2708953594496
90.0,1162299.35492979,1931030.29073525,-0.26334208205689497,-0.37665426281264514,-0.09287492185372173,-0.17046716020317323,0.47584175918177907,0.5091470739233854,0.6163298604487564,-0.006666131003741657,-0.22551357652381626,0.18451394373283814,0.4700765477674081,0.2760967486782047,0.13917919170653156,0.17936257156890162,0.16965423269576302,0.21523956444446274,0.16643393464938397,0.19888407535562697,0.14818141812768418,3.6582126083686086,3.436223371786321,-0.03929245323160239,-1.04773291613868,1.1086317470144667,2.3635705720875775,1.863234622577975,0.00038471070866184846,0.0008216709284072378,0.9687253549576578,0.29695872387801975,0.26990222420753723,0.019777312700670933,0.06498053028732448,25.378313961238874,25.381866663920704,24.2686756967515,27.894181490855317,27.65876396285036,25.949134456141582,68.04454107774293
100.0,1165641.09906091,1946344.11935752,0.280722892158437,0.7651976369793645,0.014524243386966548,0.2661986487714704,0.44716086761016904,0.4720208538129668,0.6857800449513398,0.08892501882056986,-0.21032305353191205,0.25948727813266576,0.44894168241589194,0.27088682925331453,0.13665154544087038,0.18374765811456814,0.17580601650679886,0.217751644124986,0.16444599110925334,0.19605352071029664,0.14757611009005084,3.4541933081701734,3.7321838655693256,0.5058132855034054,-0.9658850309813962,1.5779483366077902,2.2898934984150667,1.835573719133941,0.0007736578587207939,0.00029662310134788433,0.6139559217998942,0.33612853954189237,0.11732433691314366,0.023851225779687017,0.0690044889130014,20.15929144615532,20.546019897426564,19.031935038454073,22.682740512547493,22.62605052941985,21.388190164935004,57.36077238973355
120.0,1162147.77912165,1881157.78688081,-0.0180432762742621,0.8681122303280149,-0.6335676319157773,0.6155243556415152,0.5777557792206756,-0.28453262075263747,0.23934738351686022,-0.1609925160652597,-0.5424635634804704,0.09586639837356192,0.14884090430108401,0.33208188488193674,0.12429492697018268,0.18994848410228757,0.14845190658581747,0.21988560046749941,0.09420261362157914,0.17410131022128442,0.1534485175432136,-2.289173240520866,1.260064720432153,-1.084475907166559,-2.467026318809131,1.017661768479868,0.8549097310750035,2.1641257289332696,0.023894448033007033,0.21019701848779976,0.280422155933167,0.015097844926716675,0.3109749276439314,0.3943786618017979,0.03252259225060197,11.252261621278185,11.270198282674906,10.743805947523986,14.7403608079497,14.406483348522375,12.123175838543238,67.30242318921209
130.0,1179151.84211349,1871283.07634361,-1.66482811682524,-0.7290148339773554,-1.771752450699374,0.10692433387413414,0.7324496423586954,-0.5661090774770483,0.6315229099775334,0.35394886065183473,-0.8314392207196694,-0.1615599821498222,0.30714622950135184,0.35672316877168525,0.13216846589169465,0.15738623282709346,0.17396946346064587,0.2190573593605091,0.11566201865981313,0.16854294670044953,0.1536333147363492,-4.283238620178477,4.01256767274767,2.034545911742163,-3.7955320156641967,-1.3968283108131188,1.8223618105315387,2.3219128571420815,3.839915190403771e-05,0.0001072718752760466,0.04419673359364671,0.00023674546919356617,0.16515497221373537,0.07099847570442193,0.021997893231120766,15.676969962295631,16.05218467597456,15.530585133682857,19.16763924768231,18.937198802748455,16.60415260308322,62.763697032772825
150.0,1150164.33155849,1889923.88301697,-1.18594334722869,-0.32453474014787487,-1.3480471510604033,0.1621038038317133,0.6908490865972297,-0.4084776429441904,0.7046770046765234,0.1825880694163783,-0.5115777594017362,0.10842894025421464,0.1832050432835014,0.30993398110248555,0.12481572091516359,0.23185973359369255,0.1365925248814583,0.21884555008229215,0.09286693297714126,0.16418721741567163,0.15373314430690482,-3.272645784915427,3.039238395362726,1.3367354441601926,-2.3376201124919764,1.1675731800134272,1.1158301247025977,2.016051792213067,0.001407201721660234,0.002936595344019922,0.183947517642731,0.021136035795535472,0.2453940734539454,0.2668210354769078,0.04612537938897634,15.810473221605593,15.851560453528169,15.605621966325607,17.835322695707298,17.420052894952647,16.51512162782554,57.346979126408584
160.0,1175321.45695792,1898497.01044895,-0.24185404305596198,-1.1773758531683205,0.7250555764112346,-0.9669096194671967,0.6444297554032106,0.02664185064350102,0.1066981454359206,0.17652661615820534,-0.4615182466404446,-0.10287940804720369,0.6533258841263221,0.3103833060590429,0.15778573870830334,0.06373495308878147,0.11096120342697668,0.23755691256197575,0.11846610290285263,0.17827621120675502,0.15206013622949235,0.16884828034270893,1.674091534786137,1.5908859196392646,-1.9427691733451034,-0.8684290740244008,3.6646834690054657,2.041187873135967,0.8662126074920822,0.09683033354123202,0.1143805422041217,0.05448854628076525,0.3869681996879384,0.0003761116184202035,0.04352111534477667,28.069619378949344,28.13195340022432,27.854176097232056,35.95331349334887,34.4418348173516,30.75370565758537,67.67301887617907
170.0,1165706.56389297,1901501.95688375,-0.125850765888733,-0.19848345429409703,-0.14150118191110117,0.015650416022368163,0.7764432467021436,-0.12008995758051204,0.11705171812132541,0.10298610071371546,-0.4484828291986967,-0.009376719821824265,0.5890734736421306,0.3038302218564766,0.1599588308204026,0.06923398806302196,0.10875171969509398,0.23847274405855778,0.09961623118889402,0.16962494937710748,0.15209241700361267,-0.7507554097800687,1.6906684331801913,0.9469836523271216,-1.8806460711861068,-0.09412843378950933,3.472799701961955,1.9976684429261171,0.4543333045045451,0.09360884923081933,0.3456327347449647,0.06254961263494001,0.9251709397583109,0.0007267326094990052,0.04811317494107184,11.07112386665945,13.308166100240813,10.908222504344915,28.513410818063996,26.533868840634295,17.858778572249904,71.23591951307546
190.0,1175756.53587033,1881859.32211346,0.18997873015977698,0.5134828851106282,-0.43831617175941173,0.6282949019191887,0.7740086677349165,-0.44046080882406785,0.3107329980149234,0.11015252552465783,-0.7056641925921863,-0.049476263924860646,0.4683989300186929,0.3374323572874442,0.14480450486654964,0.10576987978333424,0.14745011620675322,0.2257086312704132,0.09710975279982292,0.1643273413467649,0.15303304313763916,-3.0417617824113417,2.9378212270964914,0.7470494317563166,-3.1264386683855077,-0.5094881049367769,2.850401681058502,2.2049640415498684,0.002913930598702813,0.003994356481507321,0.45655840778076606,0.002240923924941535,0.611386428628121,0.005176403132359861,0.029446570080697385,11.247465811568034,11.321095164259678,11.042148416160417,20.79910070398741,18.191190419330827,14.154213970544406,68.46871177857363
