"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","LUI","BS","BD","RD","LS","GBS","TS","ES","LUM"
590,"Damen/Milwaukee","Blue Line",1162783.21413024,1910383.12246002,1,8.00692819478321,289,44,0.51097734,15.09645263,0.878892734,0.062283737,0.027681661,0.01384083,0.320040849
630,"Clark/Division","Red Line",1175328.34617393,1908360.20047414,1,8.31127397529291,140,59,3.105195973,16.8875965,0.8,0.05,0.078571429,0.035714286,0.476055587
650,"North/Clybourn","Red Line",1170472.73119341,1910775.10249239,1,7.86922480660215,130,22,0.332126755,14.63266293,0.853846154,0.023076923,0.061538462,0.023076923,0.376372349
660,"Armitage","Brown, Purple (Express)",1169507.15116051,1913523.19132695,2,7.77666826052537,110,22,0.534196366,13.77749328,0.818181818,0.081818182,0.009090909,0.036363636,0.429281518
670,"Western/Milwaukee","Blue Line (O'Hare)",1160063.30014371,1912699.74915018,1,7.88554904721504,134,39,0.405034407,16.37746551,0.865671642,0.052238806,0.014925373,0.02238806,0.351657081
680,"Adams/Wabash","Brown, Orange, Pink,  Purple (Express), Green",1176848.36665534,1899477.04526587,5,8.27145411629876,103,7,1.991741685,10.22376482,0.572815534,0.087378641,0.252427184,0.048543689,0.716190932
700,"Laramie","Green Line (Lake)",1141729.75260664,1902002.90459622,1,6.37954410443557,32,18,0.307559183,14.28820157,0.71875,0.0625,0.03125,0.15625,0.569952438
710,"Chicago/Franklin","Brown, Purple (Express)",1174115.1544928,1905746.07592771,2,8.17406197014201,108,27,1.030915363,18.17698382,0.833333333,0.055555556,0.074074074,0.018518519,0.405758316
720,"East 63rd-Cottage Grove","Green Line",1182666.51808476,1863374.47652824,1,6.15152211660965,60,47,0.366942271,13.60236648,0.483333333,0.166666667,0.116666667,0.216666667,0.807916959
730,"Washington/Wells","Brown, Orange, Pink, Purple (Express)",1174726.83884537,1900620.27445093,4,8.28777016145832,111,14,11.77295013,27.44515017,0.738738739,0.153153153,0.072072072,0.009009009,0.522318093
