station_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_TL,beta_BS,beta_RD,beta_LUM,beta_GBS,beta_TS,beta_ES,beta_LUI,se_Intercept,se_TL,se_BS,se_RD,se_LUM,se_GBS,se_TS,se_ES,se_LUI,t_Intercept,t_TL,t_BS,t_RD,t_LUM,t_GBS,t_TS,t_ES,t_LUI,p_Intercept,p_TL,p_BS,p_RD,p_LUM,p_GBS,p_TS,p_ES,p_LUI,sumW_Intercept,sumW_TL,sumW_BS,sumW_RD,sumW_LUM,sumW_GBS,sumW_TS,sumW_ES,sumW_LUI
1060.0,1166283.2435735,1884759.33773216,-0.7304088195784277,-0.5977186263613059,-0.4309438335152852,-0.29946498606314254,0.677067566520996,-0.04330052594310095,0.01179461165082862,0.18415949325575368,0.2145609651867918,-0.003971024567196548,-0.07814490149131027,0.10330559680116258,-0.1588974798334426,0.4079793718592993,0.113236915575386,0.12028035703496584,0.16678453072429109,0.12133391581357607,0.1334335075230763,0.15825736871180535,0.09685470489229649,0.0956595403153395,0.11987874042221544,-0.38238877951664263,0.09805933355684913,1.1041761034791941,1.7683511139330141,-0.029760325130550803,-0.49378365208141484,1.0666038053189006,-1.6610730023334908,3.4032670882459004,0.7028787895283181,0.9220558888709458,0.2718217575907587,0.07965384793868589,0.9763097869946072,0.6224007533192869,0.28838487338906016,0.0994227846822822,0.0009170834598095958,11.255126723750687,11.255126723750687,10.177705287162436,10.475207319422145,76.64669882286587,10.475207319422145,60.57304566198776,76.64669882286587,16.416371686964833
1070.0,1155033.73418703,1901060.63233934,-1.2019694456373151,-0.5444390504470172,-1.0911539617536492,-0.11081548388366591,0.8304312767837146,-0.1669331887050392,0.4177311796917211,-0.01766780177642191,0.2225555252874151,0.01052823965732963,0.010611538844094145,0.11355378537365882,-0.15733391225878043,0.6889906752519472,0.09726153644144965,0.19173969532715313,0.13259207586561422,0.12793915552431295,0.13412675496610768,0.14294432016003794,0.1011479975805753,0.09519047651107984,0.14957869523143608,-1.7163330419474825,2.178636922203163,-0.13324930363356496,1.7395419281560107,0.07849470197046068,0.07423547037205573,1.1226498604997195,-1.6528324893979,4.60620861938864,0.08879360968434324,0.03139904345710691,0.8942291103420354,0.08461505725070846,0.9375709628246429,0.9409519971577268,0.2639246119169292,0.10109256073587083,1.066575742323645e-05,15.889421756958232,15.889421756958232,15.412720573021359,15.726497301775755,76.00880116753852,15.726497301775755,56.126523817698505,76.00880116753852,17.14252767288576
1080.0,1179041.79692939,1873875.82873002,-1.422327327002949,-0.723458108501116,-1.280569730169642,-0.14175759683330713,0.7017112383861204,-0.2355425700741797,0.38317861193321845,0.3195724484394026,0.5526530654447028,-0.015171929878759273,-0.23190219034504939,0.09226286030843417,-0.16068630859680474,0.5512213418953315,0.11789332663808728,0.13123842035269573,0.16841080903556668,0.13573221290851883,0.13304467228174097,0.12725886502092032,0.0953213646623605,0.09629253719448175,0.12139860886721404,-1.9979296266467723,2.919713685241318,1.8975768257957366,4.071642638119968,-0.11403635800335213,-1.822287117733814,0.9679137582140172,-1.6687306543005207,4.5405902673749585,0.04808443038372516,0.004216609821260419,0.06025933756989259,8.604549768218444e-05,0.909407824561795,0.0710098832346235,0.3351186533424426,0.09789116458928314,1.3901288905642392e-05,15.437253044923006,15.437253044923006,14.922326772110488,14.970736310786242,69.48803371866916,14.970736310786242,56.52767100483489,69.48803371866916,18.7522283107832
1090.0,1176409.33715094,1899923.25429028,0.8192752235385085,-0.7404858197456018,1.1318101029021501,-0.31253487936364166,0.6942021126352446,0.09741637576170502,-0.01941101483391488,0.1335259488470695,0.04927773674840815,0.01290290164116751,-0.5667911163178038,0.14359914590049158,-0.1562622797352189,0.4005714944452196,0.13564151793879636,0.06924066829919631,0.11743066704535386,0.09857038294719707,0.13452494966512446,0.13800115225983867,0.10061397865463664,0.09527658514968153,0.12004611193697756,0.718189955715925,-0.28034124035368657,1.1370619975742737,0.4999243715508909,0.09591456211867724,-4.1071477088148365,1.4272285801697997,-1.6400911041230912,3.3368135625709705,0.4740967197469238,0.7797193927415158,0.2578760668244583,0.6180835679281939,0.9237553710831723,7.528978774693735e-05,0.1562236756426983,0.10371882521480652,0.001141936657014775,29.283927338196538,29.283927338196538,28.595894871151668,29.126649507871054,76.25384697985275,29.126649507871054,57.89649444189844,76.25384697985275,34.91408929442344
1120.0,1177050.91513553,1882047.58707363,-0.7143452761939157,0.16453872699207395,-0.752433589169816,0.03808831297590021,0.7514812334563405,-0.021345600246838053,0.028237238433205067,0.3868557019800028,0.4183053536678576,-0.00728716319507587,-0.343880368059429,0.10772890881073546,-0.15906503470802488,0.417231529262599,0.13062963383351078,0.09290372208667483,0.152805637834773,0.13441289381996932,0.13338057430061492,0.14266201595112554,0.09609277328598581,0.09597140236735992,0.11868421610066221,-0.16340549705622925,0.30394087340075615,2.531684743191907,3.112092462112524,-0.054634366610627746,-2.4104549887843914,1.1210927224477,-1.6574211773956868,3.5154761346590804,0.8704859944959925,0.7617221911951981,0.01270126824476355,0.0023437159709854285,0.9565245607131413,0.017517330085355862,0.2645840039788853,0.10015998346639682,0.0006290236377366905,12.063258557557411,12.063258557557411,11.05842107446834,11.767120197251087,73.35209777653047,11.767120197251087,59.604410099790776,73.35209777653047,19.70241489141787
1130.0,1170942.96556184,1887545.79610276,-0.4758571781025997,0.10359443544119823,-0.2905675718325165,-0.18528960627008317,0.7242200260857026,0.021691526088434082,-0.027237239857094156,0.22898249965537498,0.13497973239216587,-0.0007778367237706197,-0.4155218332884262,0.11308501711305785,-0.1581158369545478,0.391799940760007,0.11846969581845186,0.07508321866604299,0.13057586972184498,0.09671225517063674,0.13367983590976623,0.1307845338841959,0.09734535656826433,0.09566649653431053,0.11888684594881276,0.1830976769086596,-0.3627606852902861,1.7536356460283016,1.3956838474504698,-0.005818654088531787,-3.1771480996090333,1.1616888683720208,-1.6527817227825417,3.295570150197257,0.8550437951507489,0.7174495313293916,0.08215721576554087,0.165498657154239,0.9953674936561648,0.0019101859210748126,0.2477672938666181,0.10110291729687601,0.0013064386695417235,14.89578185679979,14.89578185679979,10.726199362146174,14.503162939075999,76.7113079049101,14.503162939075999,60.75958470505214,76.7113079049101,22.209477845794222
1140.0,1180024.5514903,1863287.02462416,-2.514466053552782,-2.488887624338565,-1.0693155631679394,-1.4451504903848424,0.6406384210947129,-0.2110774669472859,0.43605756257676126,0.2792779276063148,0.49920690838264137,-0.022566736029377494,-0.2541220270425074,0.07598940857509628,-0.16241659329392472,0.5549887029875133,0.10787133385048008,0.1637579734510831,0.19395269980037902,0.12440653281930537,0.13281731498734822,0.12823738353028433,0.09503421271639959,0.09663808026392762,0.12879842313549697,-1.956752173286921,2.6628172869214093,1.4399280231404599,4.012706544178961,-0.16990808789898465,-1.9816532437477126,0.7996005480874907,-1.6806686644679802,4.30897125505691,0.0528004589785234,0.008859711176122208,0.15260450826104752,0.00010721655478038352,0.8653809589542549,0.04990388589460004,0.4255908000142642,0.09554157103927977,3.4748194542235504e-05,16.890711377554915,16.890711377554915,16.64316601149041,16.86500136264491,63.76095998042896,16.86500136264491,51.069630990871644,63.76095998042896,18.97366271131297
1150.0,1155746.78506769,1871922.53234421,0.015736897681285042,0.2944938106336839,-0.15675272122024725,0.1724896189015323,0.6248071592697284,-0.0811801114332524,0.054142517746997854,-0.2981520626600519,-0.010837306986794295,-0.015733251070881814,-0.2074604963738238,0.07227057291424596,-0.16175076350071632,0.5078120413416154,0.09713108353993533,0.18541873520496602,0.1959424216997312,0.12227382361882742,0.13292832627539958,0.13301852174796924,0.09558607731976189,0.09605154476278832,0.13194391361332858,-0.835778913141387,0.2920013324821114,-1.5216309978905447,-0.08863145574459318,-0.11835890446920863,-1.5596361592929147,0.7560784472039886,-1.6839996056302966,3.848696218226452,0.40501244288670957,0.7708117178795333,0.13084652166607522,0.9295289722741079,0.9059897772492433,0.12159368789287878,0.45114816508457845,0.0948942137128629,0.00019554522417481807,12.160370675068956,12.160370675068956,11.025115903815257,12.106315453130035,65.62946788245654,12.106315453130035,49.55259273611969,65.62946788245654,15.684688027278499
1160.0,1172561.88677935,1901699.06101194,-0.007555925774696814,-0.5203312300673943,0.7732788254250669,-0.7808347511997636,0.712705176259973,0.08569535373356246,-0.020017687658571072,0.1115668209599647,0.05030606608872193,0.013527815386282178,-0.5356730202145632,0.1435818762414148,-0.15632470576683577,0.4039427530501677,0.13343427301703203,0.06903998738718152,0.11742670493912312,0.09702234898071456,0.13441789774268945,0.13620957755538232,0.10148920821256066,0.09512614330965465,0.11969582740293423,0.6422289550947978,-0.28994338521979085,0.9500975184290803,0.5184997747139829,0.10063998629243487,-3.932711853516765,1.4147501864503127,-1.6433411502657849,3.374743813670028,0.5220027574288159,0.772381691404693,0.34405515916985163,0.6051058511160072,0.9200114998625447,0.0001440317767800044,0.15984374347580393,0.10304375933711289,0.0010079630780797685,29.429531699342892,29.429531699342892,26.869368925524928,29.149916692514672,79.37583697831478,29.149916692514672,58.96961980652965,79.37583697831478,36.009155209836514
1170.0,1175717.82047829,1868822.88715732,-0.11923256143542497,-0.1957297817574878,0.10118046327923302,-0.220413024714658,0.6533822898890651,-0.24282111739334344,0.5079501551950308,0.23617571723401456,0.45000375369925427,-0.01877244791343497,-0.24643728180067698,0.08170718037874221,-0.1616789755475372,0.5944607030492438,0.11041706107932979,0.15653271814610276,0.1846732664638405,0.12104063524666024,0.1328633440586433,0.12699248905987526,0.09509462682803156,0.09638930044469567,0.12734429432524827,-2.1991267927235194,3.245009485626679,1.2788841707105363,3.717790746737433,-0.14129140017090927,-1.9405658053090455,0.859219738319189,-1.6773539677290443,4.668137714367791,0.02987010015727077,0.001538320190776777,0.2035125422357503,0.00031210335539864323,0.8878869517272565,0.05475866252033902,0.3920067919404978,0.09618932293151587,8.288448943968207e-06,17.269657022249238,17.269657022249238,16.760150453389034,17.25144471643211,68.27447877185614,17.25144471643211,54.900034603242396,68.27447877185614,19.77809784973377
